年份,科目代碼,當年度金額,上年度金額,款,款名,項,項名,目,目名,節,節名,備註,ref
2016,33193821302,2349000,2547000,19,臺中市政府地政局主管,3,臺中市中正地政事務所,2,地政業務,1,地價管理,"一、本科目包括地價管理二、本年度預算數包括:
　　人事費23千元
　　業務費2,326千元三、本年度預算數與上年度比較：
　　減少 198千元
　　減列 人事費85千元
　　減列 業務費113千元",19.3.2.1
2016,33193821307,7367000,6575000,19,臺中市政府地政局主管,3,臺中市中正地政事務所,2,地政業務,2,測量管理,"一、本科目包括測量管理二、本年度預算數包括:
　　人事費798千元
　　業務費6,569千元三、本年度預算數與上年度比較：
　　增加 792千元
　　增列 人事費40千元
　　增列 業務費752千元",19.3.2.2
2016,33193821309,6947000,7878000,19,臺中市政府地政局主管,3,臺中市中正地政事務所,2,地政業務,3,登記管理,"一、本科目包括登記管理二、本年度預算數包括:
　　人事費44千元
　　業務費6,903千元三、本年度預算數與上年度比較：
　　減少 931千元
　　減列 人事費4千元
　　減列 業務費927千元",19.3.2.3
2016,33193829000,551000,793000,19,臺中市政府地政局主管,3,臺中市中正地政事務所,3,一般建築及設備,,,,19.3.3
2016,33193829001,551000,793000,19,臺中市政府地政局主管,3,臺中市中正地政事務所,3,一般建築及設備,1,一般建築及設備,"一、本科目包括一般建築及設備二、本年度預算數包括:
　　設備及投資551千元三、本年度預算數與上年度比較：
　　減少 242千元
　　減列 設備及投資242千元",19.3.3.1
2016,00190000000,111390000,109090000,19,臺中市政府地政局主管,,,,,,,,19
2016,00193810000,111390000,109090000,19,臺中市政府地政局主管,2,臺中市中興地政事務所,,,,,,19.2
2016,33193810100,89652000,92311000,19,臺中市政府地政局主管,2,臺中市中興地政事務所,1,一般行政,,,,19.2.1
2016,33193810101,89652000,92311000,19,臺中市政府地政局主管,2,臺中市中興地政事務所,1,一般行政,1,行政管理,"一、本科目包括行政管理二、本年度預算數包括:
　　人事費73,171千元
　　業務費16,361千元
　　獎補助費120千元三、本年度預算數與上年度比較：
　　減少 2,659千元
　　減列 人事費2,409千元
　　減列 業務費250千元",19.2.1.1
2016,33193811300,16445000,14804000,19,臺中市政府地政局主管,2,臺中市中興地政事務所,2,地政業務,,,,19.2.2
2016,33193811302,2918000,3116000,19,臺中市政府地政局主管,2,臺中市中興地政事務所,2,地政業務,1,地價管理,"一、本科目包括地價管理二、本年度預算數包括:
　　人事費56千元
　　業務費2,862千元三、本年度預算數與上年度比較：
　　減少 198千元
　　減列 人事費40千元
　　減列 業務費158千元",19.2.2.1
2016,33193811307,7539000,6265000,19,臺中市政府地政局主管,2,臺中市中興地政事務所,2,地政業務,2,測量管理,"一、本科目包括測量管理二、本年度預算數包括:
　　人事費526千元
　　業務費7,013千元三、本年度預算數與上年度比較：
　　增加 1,274千元
　　增列 人事費60千元
　　增列 業務費1,214千元",19.2.2.2
2016,33193811309,5988000,5423000,19,臺中市政府地政局主管,2,臺中市中興地政事務所,2,地政業務,3,登記管理,"一、本科目包括登記管理二、本年度預算數包括:
　　人事費211千元
　　業務費5,777千元三、本年度預算數與上年度比較：
　　增加 565千元
　　減列 人事費4千元
　　增列 業務費569千元",19.2.2.3
2016,33193819000,5293000,1975000,19,臺中市政府地政局主管,2,臺中市中興地政事務所,3,一般建築及設備,,,,19.2.3
2016,33193819001,5293000,1975000,19,臺中市政府地政局主管,2,臺中市中興地政事務所,3,一般建築及設備,1,一般建築及設備,"一、本科目包括一般建築及設備二、本年度預算數包括:
　　設備及投資5,293千元三、本年度預算數與上年度比較：
　　增加 3,318千元
　　增列 設備及投資3,318千元",19.2.3.1
2016,00080000000,12426302000,11098057000,8,臺中市政府交通局主管,,,,,,,,8
2016,00081900000,663721000,522859000,8,臺中市政府交通局主管,1,臺中市政府交通局,,,,,,8.1
2016,60081900100,101826000,102368000,8,臺中市政府交通局主管,1,臺中市政府交通局,1,一般行政,,,,8.1.1
2016,60081900101,101826000,102368000,8,臺中市政府交通局主管,1,臺中市政府交通局,1,一般行政,1,行政管理,"一、本科目包括行政管理二、本年度預算數包括:
　　人事費88,987千元
　　業務費12,773千元
　　獎補助費66千元三、本年度預算數與上年度比較：
　　減少 542千元
　　減列 人事費1,307千元
　　增列 業務費759千元
　　增列 獎補助費6千元",8.1.1.1
2016,60081900200,323815000,262871000,8,臺中市政府交通局主管,1,臺中市政府交通局,2,交通管理業務,,,,8.1.2
2016,60081900201,30584000,34327000,8,臺中市政府交通局主管,1,臺中市政府交通局,2,交通管理業務,1,交通規劃,"一、本科目包括交通規劃二、本年度預算數包括:
　　業務費30,584千元三、本年度預算數與上年度比較：
　　減少 3,743千元
　　減列 業務費3,743千元",8.1.2.1
2016,60081900202,125502000,61519000,8,臺中市政府交通局主管,1,臺中市政府交通局,2,交通管理業務,2,交通工程,"一、本科目包括交通工程二、本年度預算數包括:
　　業務費75,502千元
　　獎補助費50,000千元三、本年度預算數與上年度比較：
　　增加 63,983千元
　　增列 業務費43,983千元
　　增列 獎補助費20,000千元",8.1.2.2
2016,60081900203,2797000,3903000,8,臺中市政府交通局主管,1,臺中市政府交通局,2,交通管理業務,3,交通行政,"一、本科目包括交通行政二、本年度預算數包括:
　　業務費2,797千元三、本年度預算數與上年度比較：
　　減少 1,106千元
　　減列 業務費1,106千元",8.1.2.3
2016,60081900205,164932000,163122000,8,臺中市政府交通局主管,1,臺中市政府交通局,2,交通管理業務,4,運輸管理,"一、本科目包括運輸管理二、本年度預算數包括:
　　業務費6,702千元
　　獎補助費158,230千元三、本年度預算數與上年度比較：
　　增加 1,810千元
　　增列 業務費2,810千元
　　減列 獎補助費1,000千元",8.1.2.4
2016,60081907900,1000000,1000000,8,臺中市政府交通局主管,1,臺中市政府交通局,3,第一預備金,,,,8.1.3
2016,60081907901,1000000,1000000,8,臺中市政府交通局主管,1,臺中市政府交通局,3,第一預備金,1,第一預備金,"一、本科目包括第一預備金二、本年度預算數包括:
　　預備金1,000千元",8.1.3.1
2016,60081909000,237080000,156620000,8,臺中市政府交通局主管,1,臺中市政府交通局,4,一般建築及設備,,,,8.1.4
2016,60081909001,237080000,156620000,8,臺中市政府交通局主管,1,臺中市政府交通局,4,一般建築及設備,1,一般建築及設備,"一、本科目包括一般建築及設備二、本年度預算數包括:
　　設備及投資237,080千元
　　獎補助費0千元三、本年度預算數與上年度比較：
　　增加 80,460千元
　　增列 設備及投資81,210千元
　　減列 獎補助費750千元",8.1.4.1
2016,00081910000,2620269000,2480655000,8,臺中市政府交通局主管,2,臺中市公共運輸處,,,,,,8.2
2016,60081910100,23147000,22813000,8,臺中市政府交通局主管,2,臺中市公共運輸處,1,一般行政,,,,8.2.1
2016,60081910101,23147000,22813000,8,臺中市政府交通局主管,2,臺中市公共運輸處,1,一般行政,1,行政管理,"一、本科目包括行政管理二、本年度預算數包括:
　　人事費20,930千元
　　業務費2,211千元
　　獎補助費6千元三、本年度預算數與上年度比較：
　　增加 334千元
　　增列 業務費328千元
　　增列 獎補助費6千元",8.2.1.1
2016,60081910700,2487761000,2321324000,8,臺中市政府交通局主管,2,臺中市公共運輸處,2,公共運輸業務,,,,8.2.2
2016,60081910701,34585000,9000000,8,臺中市政府交通局主管,2,臺中市公共運輸處,2,公共運輸業務,1,綜合規劃,"一、本科目包括綜合規劃二、本年度預算數包括:
　　業務費34,585千元
　　獎補助費0千元三、本年度預算數與上年度比較：
　　增加 25,585千元
　　增列 業務費25,585千元",8.2.2.1
2016,60081910702,2422943000,2292710000,8,臺中市政府交通局主管,2,臺中市公共運輸處,2,公共運輸業務,2,營運與管理,"一、本科目包括營運與管理二、本年度預算數包括:
　　業務費1,498千元
　　獎補助費2,421,445千元三、本年度預算數與上年度比較：
　　增加 130,233千元
　　減列 業務費1,802千元
　　增列 獎補助費132,035千元",8.2.2.2
2016,60081910703,30233000,19614000,8,臺中市政府交通局主管,2,臺中市公共運輸處,2,公共運輸業務,3,運輸稽查,"一、本科目包括運輸稽查二、本年度預算數包括:
　　業務費30,233千元三、本年度預算數與上年度比較：
　　增加 10,619千元
　　增列 業務費10,619千元",8.2.2.3
2016,60081919000,109361000,136518000,8,臺中市政府交通局主管,2,臺中市公共運輸處,3,一般建築及設備,,,,8.2.3
2016,60081919001,109361000,136518000,8,臺中市政府交通局主管,2,臺中市公共運輸處,3,一般建築及設備,1,一般建築及設備,"一、本科目包括一般建築及設備二、本年度預算數包括:
　　設備及投資24,660千元
　　獎補助費84,701千元三、本年度預算數與上年度比較：
　　減少 27,157千元
　　減列 設備及投資1,626千元
　　減列 獎補助費25,531千元",8.2.3.1
2016,00081920000,8995072000,7952915000,8,臺中市政府交通局主管,3,臺中市捷運工程處,,,,,,8.3
2016,60081920100,36287000,28549000,8,臺中市政府交通局主管,3,臺中市捷運工程處,1,一般行政,,,,8.3.1
2016,60081920101,36287000,28549000,8,臺中市政府交通局主管,3,臺中市捷運工程處,1,一般行政,1,行政管理,"一、本科目包括行政管理二、本年度預算數包括:
　　人事費26,996千元
　　業務費9,291千元三、本年度預算數與上年度比較：
　　增加 7,738千元
　　減列 人事費100千元
　　增列 業務費7,838千元",8.3.1.1
2016,60081929000,8958785000,7924366000,8,臺中市政府交通局主管,3,臺中市捷運工程處,2,一般建築及設備,,,,8.3.2
2016,60081929001,8958785000,7924366000,8,臺中市政府交通局主管,3,臺中市捷運工程處,2,一般建築及設備,1,一般建築及設備,"一、本科目包括一般建築及設備二、本年度預算數包括:
　　設備及投資8,958,785千元三、本年度預算數與上年度比較：
　　增加 1,034,419千元
　　增列 設備及投資1,034,419千元",8.3.2.1
2016,00081930000,36491000,29242000,8,臺中市政府交通局主管,4,臺中市停車管理處,,,,,,8.4
2016,60081930100,23005000,24999000,8,臺中市政府交通局主管,4,臺中市停車管理處,1,一般行政,,,,8.4.1
2016,60081930101,23005000,24999000,8,臺中市政府交通局主管,4,臺中市停車管理處,1,一般行政,1,行政管理,"一、本科目包括行政管理二、本年度預算數包括:
　　人事費22,823千元
　　業務費176千元
　　獎補助費6千元三、本年度預算數與上年度比較：
　　減少 1,994千元
　　減列 業務費2,000千元
　　增列 獎補助費6千元",8.4.1.1
2016,60081939000,13486000,4243000,8,臺中市政府交通局主管,4,臺中市停車管理處,2,一般建築及設備,,,,8.4.2
2016,60081939001,13486000,4243000,8,臺中市政府交通局主管,4,臺中市停車管理處,2,一般建築及設備,1,一般建築及設備,"一、本科目包括一般建築及設備二、本年度預算數包括:
　　設備及投資13,486千元三、本年度預算數與上年度比較：
　　增加 9,243千元
　　增列 設備及投資9,243千元",8.4.2.1
2016,00081940000,10101000,10281000,8,臺中市政府交通局主管,5,臺中市車輛行車事故鑑定委員會,,,,,,8.5
2016,60081940100,10001000,10181000,8,臺中市政府交通局主管,5,臺中市車輛行車事故鑑定委員會,1,一般行政,,,,8.5.1
2016,60081940101,10001000,10181000,8,臺中市政府交通局主管,5,臺中市車輛行車事故鑑定委員會,1,一般行政,1,行政管理,"一、本科目包括行政管理二、本年度預算數包括:
　　人事費6,484千元
　　業務費3,499千元
　　獎補助費18千元三、本年度預算數與上年度比較：
　　減少 180千元
　　減列 人事費178千元
　　減列 業務費2千元",8.5.1.1
2016,60081949000,100000,100000,8,臺中市政府交通局主管,5,臺中市車輛行車事故鑑定委員會,2,一般建築及設備,,,,8.5.2
2016,60081949001,100000,100000,8,臺中市政府交通局主管,5,臺中市車輛行車事故鑑定委員會,2,一般建築及設備,1,一般建築及設備,"一、本科目包括一般建築及設備二、本年度預算數包括:
　　設備及投資100千元",8.5.2.1
2016,00081950000,100648000,102105000,8,臺中市政府交通局主管,6,臺中市交通事件裁決處,,,,,,8.6
2016,60081950100,64632000,64000000,8,臺中市政府交通局主管,6,臺中市交通事件裁決處,1,一般行政,,,,8.6.1
2016,60081950101,64632000,64000000,8,臺中市政府交通局主管,6,臺中市交通事件裁決處,1,一般行政,1,行政管理,"一、本科目包括行政管理二、本年度預算數包括:
　　人事費44,817千元
　　業務費19,809千元
　　獎補助費6千元三、本年度預算數與上年度比較：
　　增加 632千元
　　增列 人事費822千元
　　減列 業務費190千元",8.6.1.1
2016,60081951100,34680000,34424000,8,臺中市政府交通局主管,6,臺中市交通事件裁決處,2,交通裁罰業務,,,,8.6.2
2016,60081951101,9290000,9351000,8,臺中市政府交通局主管,6,臺中市交通事件裁決處,2,交通裁罰業務,1,案件管理,"一、本科目包括案件管理二、本年度預算數包括:
　　業務費9,290千元三、本年度預算數與上年度比較：
　　減少 61千元
　　減列 業務費61千元",8.6.2.1
2016,60081951102,3405000,3135000,8,臺中市政府交通局主管,6,臺中市交通事件裁決處,2,交通裁罰業務,2,違規裁罰,"一、本科目包括違規裁罰二、本年度預算數包括:
　　業務費3,405千元三、本年度預算數與上年度比較：
　　增加 270千元
　　增列 業務費270千元",8.6.2.2
2016,60081951103,3200000,3133000,8,臺中市政府交通局主管,6,臺中市交通事件裁決處,2,交通裁罰業務,3,違規申訴,"一、本科目包括違規申訴二、本年度預算數包括:
　　業務費3,200千元三、本年度預算數與上年度比較：
　　增加 67千元
　　增列 業務費67千元",8.6.2.3
2016,60081951104,18785000,18805000,8,臺中市政府交通局主管,6,臺中市交通事件裁決處,2,交通裁罰業務,4,積案催收,"一、本科目包括積案催收二、本年度預算數包括:
　　業務費18,785千元三、本年度預算數與上年度比較：
　　減少 20千元
　　減列 業務費20千元",8.6.2.4
2016,60081959000,1336000,3681000,8,臺中市政府交通局主管,6,臺中市交通事件裁決處,3,一般建築及設備,,,,8.6.3
2016,60081959001,1336000,3681000,8,臺中市政府交通局主管,6,臺中市交通事件裁決處,3,一般建築及設備,1,一般建築及設備,"一、本科目包括一般建築及設備二、本年度預算數包括:
　　設備及投資1,336千元三、本年度預算數與上年度比較：
　　減少 2,345千元
　　減列 設備及投資2,345千元",8.6.3.1
2016,00130000000,459506000,436107000,13,臺中市政府勞工局主管,,,,,,,,13
2016,00132600000,358917000,345157000,13,臺中市政府勞工局主管,1,臺中市政府勞工局,,,,,,13.1
2016,66132600300,13247000,13247000,13,臺中市政府勞工局主管,1,臺中市政府勞工局,1,勞工保險,,,,13.1.1
2016,66132600301,13247000,13247000,13,臺中市政府勞工局主管,1,臺中市政府勞工局,1,勞工保險,1,勞工保險,"一、本科目包括勞工保險二、本年度預算數包括:
　　獎補助費13,247千元",13.1.1.1
2016,68132600100,94887000,101775000,13,臺中市政府勞工局主管,1,臺中市政府勞工局,2,一般行政,,,,13.1.2
2016,68132600101,94887000,101775000,13,臺中市政府勞工局主管,1,臺中市政府勞工局,2,一般行政,1,行政管理,"一、本科目包括行政管理二、本年度預算數包括:
　　人事費85,700千元
　　業務費9,115千元
　　獎補助費72千元三、本年度預算數與上年度比較：
　　減少 6,888千元
　　減列 人事費5,796千元
　　減列 業務費1,092千元",13.1.2.1
2016,68132600900,247743000,218855000,13,臺中市政府勞工局主管,1,臺中市政府勞工局,3,勞政業務,,,,13.1.3
2016,68132600901,28619000,23619000,13,臺中市政府勞工局主管,1,臺中市政府勞工局,3,勞政業務,1,勞資關係,"一、本科目包括勞資關係二、本年度預算數包括:
　　人事費40千元
　　業務費6,573千元
　　獎補助費22,006千元三、本年度預算數與上年度比較：
　　增加 5,000千元
　　增列 獎補助費5,000千元",13.1.3.1
2016,68132600902,54718000,30045000,13,臺中市政府勞工局主管,1,臺中市政府勞工局,3,勞政業務,2,勞動基準,"一、本科目包括勞動基準二、本年度預算數包括:
　　人事費13,849千元
　　業務費11,699千元
　　獎補助費29,170千元三、本年度預算數與上年度比較：
　　增加 24,673千元
　　增列 人事費13,824千元
　　增列 業務費2,849千元
　　增列 獎補助費8,000千元",13.1.3.2
2016,68132600903,18578000,17528000,13,臺中市政府勞工局主管,1,臺中市政府勞工局,3,勞政業務,3,綜合規劃,"一、本科目包括綜合規劃二、本年度預算數包括:
　　人事費14千元
　　業務費17,214千元
　　獎補助費1,350千元三、本年度預算數與上年度比較：
　　增加 1,050千元
　　增列 業務費1,050千元",13.1.3.3
2016,68132600904,76068000,82952000,13,臺中市政府勞工局主管,1,臺中市政府勞工局,3,勞政業務,4,勞工福利,"一、本科目包括勞工福利二、本年度預算數包括:
　　人事費15千元
　　業務費17,664千元
　　獎補助費58,389千元三、本年度預算數與上年度比較：
　　減少 6,884千元
　　減列 業務費423千元
　　減列 獎補助費6,461千元",13.1.3.4
2016,68132600905,2273000,2273000,13,臺中市政府勞工局主管,1,臺中市政府勞工局,3,勞政業務,5,外勞管理,"一、本科目包括外勞管理二、本年度預算數包括:
　　人事費18千元
　　業務費2,255千元",13.1.3.5
2016,68132600906,67487000,62438000,13,臺中市政府勞工局主管,1,臺中市政府勞工局,3,勞政業務,6,就業安全,"一、本科目包括就業安全二、本年度預算數包括:
　　人事費20千元
　　業務費19,699千元
　　獎補助費47,768千元三、本年度預算數與上年度比較：
　　增加 5,049千元
　　減列 業務費2,721千元
　　增列 獎補助費7,770千元",13.1.3.6
2016,68132607900,500000,500000,13,臺中市政府勞工局主管,1,臺中市政府勞工局,4,第一預備金,,,,13.1.4
2016,68132607901,500000,500000,13,臺中市政府勞工局主管,1,臺中市政府勞工局,4,第一預備金,1,第一預備金,"一、本科目包括第一預備金二、本年度預算數包括:
　　預備金500千元",13.1.4.1
2016,68132609000,2540000,10780000,13,臺中市政府勞工局主管,1,臺中市政府勞工局,5,一般建築及設備,,,,13.1.5
2016,68132609001,2540000,10780000,13,臺中市政府勞工局主管,1,臺中市政府勞工局,5,一般建築及設備,1,一般建築及設備,"一、本科目包括一般建築及設備二、本年度預算數包括:
　　設備及投資2,540千元三、本年度預算數與上年度比較：
　　減少 8,240千元
　　減列 設備及投資8,240千元",13.1.5.1
2016,00132610000,46023000,46392000,13,臺中市政府勞工局主管,2,臺中市勞動檢查處,,,,,,13.2
2016,68132610100,40351000,41009000,13,臺中市政府勞工局主管,2,臺中市勞動檢查處,1,一般行政,,,,13.2.1
2016,68132610101,40351000,41009000,13,臺中市政府勞工局主管,2,臺中市勞動檢查處,1,一般行政,1,行政管理,"一、本科目包括行政管理二、本年度預算數包括:
　　人事費37,562千元
　　業務費2,783千元
　　獎補助費6千元三、本年度預算數與上年度比較：
　　減少 658千元
　　減列 人事費1,022千元
　　增列 業務費358千元
　　增列 獎補助費6千元",13.2.1.1
2016,68132611000,4330000,4733000,13,臺中市政府勞工局主管,2,臺中市勞動檢查處,2,勞動檢查業務,,,,13.2.2
2016,68132611001,4330000,4733000,13,臺中市政府勞工局主管,2,臺中市勞動檢查處,2,勞動檢查業務,1,勞動檢查,"一、本科目包括勞動檢查二、本年度預算數包括:
　　業務費4,330千元三、本年度預算數與上年度比較：
　　減少 403千元
　　減列 業務費403千元",13.2.2.1
2016,68132619000,1342000,650000,13,臺中市政府勞工局主管,2,臺中市勞動檢查處,3,一般建築及設備,,,,13.2.3
2016,68132619001,1342000,650000,13,臺中市政府勞工局主管,2,臺中市勞動檢查處,3,一般建築及設備,1,一般建築及設備,"一、本科目包括一般建築及設備二、本年度預算數包括:
　　設備及投資1,342千元三、本年度預算數與上年度比較：
　　增加 692千元
　　增列 設備及投資692千元",13.2.3.1
2016,00132620000,54566000,44558000,13,臺中市政府勞工局主管,3,臺中市就業服務處,,,,,,13.3
2016,68132620100,21262000,20792000,13,臺中市政府勞工局主管,3,臺中市就業服務處,1,一般行政,,,,13.3.1
2016,68132620101,21262000,20792000,13,臺中市政府勞工局主管,3,臺中市就業服務處,1,一般行政,1,行政管理,"一、本科目包括行政管理二、本年度預算數包括:
　　人事費19,268千元
　　業務費1,982千元
　　獎補助費12千元三、本年度預算數與上年度比較：
　　增加 470千元
　　增列 業務費458千元
　　增列 獎補助費12千元",13.3.1.1
2016,69132620200,32094000,21650000,13,臺中市政府勞工局主管,3,臺中市就業服務處,2,就業服務業務,,,,13.3.2
2016,69132620201,32094000,21650000,13,臺中市政府勞工局主管,3,臺中市就業服務處,2,就業服務業務,1,就業服務,"一、本科目包括就業服務二、本年度預算數包括:
　　業務費19,902千元
　　獎補助費12,192千元三、本年度預算數與上年度比較：
　　增加 10,444千元
　　減列 業務費148千元
　　增列 獎補助費10,592千元",13.3.2.1
2016,69132629000,1210000,2116000,13,臺中市政府勞工局主管,3,臺中市就業服務處,3,一般建築及設備,,,,13.3.3
2016,69132629001,1210000,2116000,13,臺中市政府勞工局主管,3,臺中市就業服務處,3,一般建築及設備,1,一般建築及設備,"一、本科目包括一般建築及設備二、本年度預算數包括:
　　設備及投資1,210千元三、本年度預算數與上年度比較：
　　減少 906千元
　　減列 設備及投資906千元",13.3.3.1
2016,00020000000,7091393000,6855089000,2,臺中市政府主管,,,,,,,,2
2016,00020020000,73521000,75783000,2,臺中市政府主管,1,臺中市政府,,,,,,2.1
2016,32020020600,73226000,75488000,2,臺中市政府主管,1,臺中市政府,1,市政綜理業務,,,,2.1.1
2016,32020020601,73226000,75488000,2,臺中市政府主管,1,臺中市政府,1,市政綜理業務,1,市政綜理,"一、本科目包括市政綜理二、本年度預算數包括:
　　人事費65,432千元
　　業務費7,794千元三、本年度預算數與上年度比較：
　　減少 2,262千元
　　減列 人事費2,262千元",2.1.1.1
2016,32020029000,295000,295000,2,臺中市政府主管,1,臺中市政府,2,一般建築及設備,,,,2.1.2
2016,32020029001,295000,295000,2,臺中市政府主管,1,臺中市政府,2,一般建築及設備,1,一般建築及設備,"一、本科目包括一般建築及設備二、本年度預算數包括:
　　設備及投資295千元",2.1.2.1
2016,00020030000,623060000,474768000,2,臺中市政府主管,2,臺中市政府秘書處,,,,,,2.2
2016,32020030100,216562000,223212000,2,臺中市政府主管,2,臺中市政府秘書處,1,一般行政,,,,2.2.1
2016,32020030101,216562000,223212000,2,臺中市政府主管,2,臺中市政府秘書處,1,一般行政,1,行政管理,"一、本科目包括行政管理二、本年度預算數包括:
　　人事費159,254千元
　　業務費56,138千元
　　獎補助費1,170千元三、本年度預算數與上年度比較：
　　減少 6,650千元
　　減列 人事費5,660千元
　　減列 業務費990千元",2.2.1.1
2016,32020030200,10120000,10120000,2,臺中市政府主管,2,臺中市政府秘書處,2,機要業務,,,,2.2.2
2016,32020030201,10120000,10120000,2,臺中市政府主管,2,臺中市政府秘書處,2,機要業務,1,處理機要,"一、本科目包括處理機要二、本年度預算數包括:
　　人事費240千元
　　業務費9,880千元",2.2.2.1
2016,32020030300,4187000,5877000,2,臺中市政府主管,2,臺中市政府秘書處,3,文書業務,,,,2.2.3
2016,32020030301,1843000,2313000,2,臺中市政府主管,2,臺中市政府秘書處,3,文書業務,1,文書管理,"一、本科目包括文書管理二、本年度預算數包括:
　　人事費50千元
　　業務費1,793千元三、本年度預算數與上年度比較：
　　減少 470千元
　　減列 業務費470千元",2.2.3.1
2016,32020030302,2344000,3564000,2,臺中市政府主管,2,臺中市政府秘書處,3,文書業務,2,檔案管理,"一、本科目包括檔案管理二、本年度預算數包括:
　　人事費66千元
　　業務費2,278千元三、本年度預算數與上年度比較：
　　減少 1,220千元
　　減列 業務費1,220千元",2.2.3.2
2016,32020030400,27345000,30345000,2,臺中市政府主管,2,臺中市政府秘書處,4,公共關係業務,,,,2.2.4
2016,32020030401,13974000,16974000,2,臺中市政府主管,2,臺中市政府秘書處,4,公共關係業務,1,公共關係,"一、本科目包括公共關係二、本年度預算數包括:
　　人事費280千元
　　業務費13,694千元三、本年度預算數與上年度比較：
　　減少 3,000千元
　　減列 業務費3,000千元",2.2.4.1
2016,32020030402,13371000,13371000,2,臺中市政府主管,2,臺中市政府秘書處,4,公共關係業務,2,國際事務,"一、本科目包括國際事務二、本年度預算數包括:
　　人事費150千元
　　業務費13,221千元",2.2.4.2
2016,32020030500,170820000,172834000,2,臺中市政府主管,2,臺中市政府秘書處,5,業務管理,,,,2.2.5
2016,32020030501,143536000,144619000,2,臺中市政府主管,2,臺中市政府秘書處,5,業務管理,1,辦公大樓公管業務,"一、本科目包括辦公大樓公管業務二、本年度預算數包括:
　　人事費660千元
　　業務費142,876千元三、本年度預算數與上年度比較：
　　減少 1,083千元
　　減列 業務費1,083千元",2.2.5.1
2016,32020030502,13374000,12797000,2,臺中市政府主管,2,臺中市政府秘書處,5,業務管理,2,庶務管理,"一、本科目包括庶務管理二、本年度預算數包括:
　　人事費180千元
　　業務費13,194千元三、本年度預算數與上年度比較：
　　增加 577千元
　　增列 業務費577千元",2.2.5.2
2016,32020030503,5660000,5709000,2,臺中市政府主管,2,臺中市政府秘書處,5,業務管理,3,採購管理,"一、本科目包括採購管理二、本年度預算數包括:
　　人事費60千元
　　業務費5,600千元三、本年度預算數與上年度比較：
　　減少 49千元
　　減列 人事費50千元
　　增列 業務費1千元",2.2.5.3
