year,code,amount,name,topname,depname,depcat,cat,ref,comment
2015,3202109011,0,交通及運輸設備,總統府主管,國家安全會議,一般建築及設備,國務支出,1.2.3.1,"上年度購置副首長專用車及機車等預算業已
編竣，所列2,043千元如數減列。"
2015,3202109800,500000,無細項,總統府主管,國家安全會議,第一預備金,國務支出,1.2.4,仍照上年度預算數編列。
2015,5302300100,179679000,無細項,總統府主管,國史館,一般行政,文化支出,1.3.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費158,670千元，與上年度同。
2.基本行政工作維持費19,725千元，較上年
度減列購置中央空調設備等經費1,379千
元。
3.資訊業務經費1,284千元，較上年度減列
配置資訊網路等經費143千元。"
2015,5302301001,11361000,史料採集,總統府主管,國史館,史料採集與典藏,文化支出,1.3.2.1,"本年度預算數之內容與上年度之比較如下：
1.文物整理維護經費3,016千元，較上年度
減列文物拍攝及購置文物庫房設備等經費
91千元。
2.文物採集展覽應用經費8,345千元，較上
年度增列辦理文物特展等經費3,995千元
。"
2015,5302301002,6005000,史料整編典藏閱覽,總統府主管,國史館,史料採集與典藏,文化支出,1.3.2.2,"本年度預算數6,005千元，係辦理史料圖書
採集整編典藏，較上年度減列購置圖書期刊
及機械設施維護保養等經費506千元。"
2015,5302302000,9115000,無細項,總統府主管,國史館,國史編纂,文化支出,1.3.3,"本年度預算數之內容與上年度之比較如下：
1.史籍編纂經費2,103千元，較上年度減列
史籍編撰稿費等49千元。
2.人物傳記編撰經費1,723千元，較上年度
增列資料印刷等經費245千元。
3.國家歷史資料庫經費503千元，較上年度
減列資料建檔及掃描等經費161千元。
4.史學研究叢刊編撰經費3,136千元，較上
年度增列辦理國際學術討論會等經費247
千元。
5.總統副總統史籍編纂經費1,650千元，較
上年度增列出版文物書籍等經費28千元。"
2015,5302309800,340000,無細項,總統府主管,國史館,第一預備金,文化支出,1.3.4,仍照上年度預算數編列。
2015,5302313000,79000000,無細項,總統府主管,國史館臺灣文獻館,一般行政,文化支出,1.4.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費61,986千元，較上年度核實減
列人事費1,607千元。
2.基本行政工作維持費17,014千元，較上年
度減列設施及機械設備養護費、館內裝修
及消防機電設備改善工程等經費21,671千
元。"
2015,5302314002,5302000,採集文獻暨文物大樓營運,總統府主管,國史館臺灣文獻館,文獻業務,文化支出,1.4.2.1,"本年度預算數5,302千元，係採集文獻暨文
物大樓營運所需經費，較上年度減列委辦費
、購置相關文物展示設備等經費1,179千元
。"
2015,5302314003,6818000,整理文獻暨文獻大樓營運,總統府主管,國史館臺灣文獻館,文獻業務,文化支出,1.4.2.2,"本年度預算數6,818千元，係整理文獻暨文
獻大樓營運所需經費，較上年度增列辦理臺
灣光復七十週年學術研討會相關經費、購置
多人多點觸控導覽資訊牆等1,695千元。"
2015,5302314004,6994000,編輯文獻暨史蹟大樓營運,總統府主管,國史館臺灣文獻館,文獻業務,文化支出,1.4.2.3,"本年度預算數6,994千元，係編輯文獻暨史
蹟大樓營運所需經費，較上年度減列委辦費
等629千元。"
2015,5202400100,411713000,無細項,總統府主管,中央研究院,一般行政,科學支出,1.5.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費206,044千元，較上年度增列
員工薪俸晉級差額等經費4,473千元。
2.基本行政工作維持費69,191千元，較上年
度減列設施機械養護及房屋建築修繕等經
費10,850千元。
3.資訊技術服務經費91,819千元，較上年度
減列資訊操作維護及國內外網路專線租金
等經費6,736千元。
4.場地設施管理經費35,133千元，較上年度
減列清潔維護及設施機械養護等經費4,29
8千元。
5.幼稚園運作維持經費9,526千元，與上年
度同。"
2015,5202401020,2993166000,學術審議及研究獎助,總統府主管,中央研究院,一般學術研究及評議,科學支出,1.5.2.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費2,537,249千元，較上年度增
列員額10人、員工薪俸晉級差額及退休退
職給付等經費63,056千元。
2.基本行政工作維持費220,980千元，較上
年度增列購置資訊軟體及圖書期刊等經費
8,212千元。
3.學術發展及交流合作經費112,707千元，
較上年度減列國際組織會費及資料印刷等
經費16,893千元。
4.儀器整合管理經費114,249千元，較上年
度增列儀器設備養護及清潔維護等經費2,
218千元。
5.公用儀器設施使用經費5,790千元，與上
年度同。
6.新增籌備召開第32次院士會議經費2,191
千元。
7.上年度召開第31次院士會議預算業已編竣
，所列75,606千元如數減列。"
2015,5202401023,3118946000,主題研究與人才培育,總統府主管,中央研究院,一般學術研究及評議,科學支出,1.5.2.2,"本年度預算數之內容與上年度之比較如下：
1.人才延攬及培育計畫經費711,816千元，
較上年度減列購置研究耗材及儀器設備等
經費43,710千元。 
2.跨所（處）新領域之開發及研究環境之改
善經費1,022,254千元，較上年度減列購
置研究耗材及儀器設備養護等經費161,98
3千元。
3.跨所（處）、研究中心主題研究計畫經費
286,567千元，較上年度增列儀器設備養
護及學生獎助等經費17,266千元。
4.科學研究基金經費1,098,309千元，較上
年度增列辦理創新轉譯農學研究、重大疾
病之新藥與疫苗研發及健康雲跨領域研究
等計畫經費316,027千元。
5.上年度辦理農業生物技術創新研發等預算
業已編竣，所列113,410千元如數減列。"
2015,5202402010,1719712000,數理科學研究,總統府主管,中央研究院,自然及人文社會科學研究,科學支出,1.5.3.1,"本年度預算數之內容與上年度之比較如下：
1.數學研究經費63,832千元，較上年度減列
購置圖書期刊及印製資料等經費1,805千
元。
2.物理研究經費206,638千元，較上年度增
列購置儀器設備及辦理學術研討會等經費
317千元。
3.化學研究經費141,855千元，較上年度增
列辦理學術研討會及購置研究耗材等經費
145千元。
4.地球科學研究經費103,418千元，較上年
度減列機電空調改建工程經費70,000千元
，增列資訊操作維護及儀器設備養護等經
費106千元，計淨減69,894千元。
5.資訊科學研究經費161,913千元，較上年
度增列購置儀器設備及房屋建築養護等經
費134千元。
6.統計科學研究經費96,945千元，較上年度
增列辦理學術研討會及房屋建築養護等經
費99千元。
7.原子與分子科學研究經費189,519千元，
較上年度增列房屋建築養護及購置研究耗
材等經費194千元。
8.天文及天文物理科學研究經費344,260千
元，較上年度增列購置儀器設備及房屋建
築養護等經費352千元。
9.應用科學研究經費142,838千元，較上年
度增列房屋建築養護及辦理學術研討會等
經費181千元。
10.環境變遷研究經費91,594千元，較上年
度增列購置資訊軟硬體設備及辦理學術研
討會等經費95千元。
11.資訊科技創新研究經費176,900千元，較
上年度增列購置資訊硬體設備及辦理學術
研討會等經費182千元。"
2015,5202402020,1837122000,生命科學研究,總統府主管,中央研究院,自然及人文社會科學研究,科學支出,1.5.3.2,"本年度預算數之內容與上年度之比較如下：
1.植物暨微生物學研究經費153,937千元，
較上年度減列購置研究耗材及儀器設備等
經費3,381千元。
2.細胞與個體生物學研究經費107,992千元
，較上年度減列房屋建築養護及購置儀器
設備等經費2,373千元。
3.生物化學研究經費161,109千元，較上年
度減列儀器設備養護及購置等經費3,540
千元。
4.生物醫學科學研究經費397,346千元，較
上年度減列對學生獎助及購置儀器設備等
經費26,528千元。
5.分子生物研究經費283,360千元，較上年
度減列對學生獎助及購置儀器設備等經費
6,226千元。
6.農業生物科技研究經費137,042千元，較
上年度減列購置研究耗材及儀器設備等經
費2,138千元。
7.生命科學圖書館經費71,460千元，較上年
度減列電子資料庫使用及儀器設備養護等
經費179千元。
8.臨海研究站經費46,614千元，較上年度減
列購置研究耗材及房屋建築養護等經費1,
024千元。
9.生物多樣性研究計畫經費105,157千元，
較上年度增列儀器設備養護及清潔維護等
經費12,679千元。
10.基因體研究計畫經費320,732千元，較上
年度減列房屋建築修繕及購置儀器設備等
經費21,412千元。
11.南部生物科技計畫經費52,373千元，較
上年度減列房屋建築修繕及購置儀器設備
等經費1,151千元。"
2015,5202402030,934160000,人文及社會科學研究,總統府主管,中央研究院,自然及人文社會科學研究,科學支出,1.5.3.3,"本年度預算數之內容與上年度之比較如下：
1.史學及考文研究經費182,798千元，較上
年度減列研究大樓結構補強工程經費12,0
00千元，增列研究助理及儀器設備養護等
經費4,019千元，計淨減7,981千元。
2.民族學研究經費69,232千元，較上年度增
列房屋建築養護及對學生獎助等經費2,26
8千元。
3.近代史研究及史料蒐集整編經費85,149千
元，較上年度減列房屋建築養護及資料印
製等經費76千元。
4.經濟研究經費70,056千元，較上年度減列
購置資訊硬體設備及圖書期刊等經費63千
元。
5.歐美研究經費61,205千元，較上年度減列
購置資訊軟硬體設備及圖書期刊等經費55
千元。
6.中國文哲研究經費50,824千元，較上年度
增列資訊操作維護及對學生獎助等經費65
6千元。
7.台灣史研究經費54,471千元，較上年度減
列購置資訊軟體及圖書期刊等經費49千元
。
8.社會學研究經費64,540千元，較上年度增
列對學生獎助及購置軟硬體設備等經費1,
770千元。
9.語言學研究經費55,991千元，較上年度增
列研究助理及購置圖書期刊等經費1,017
千元。
10.政治學研究經費32,924千元，較上年度
增列購置圖書期刊及房屋建築養護等經費
598千元。
11.人文社會科學研究經費128,761千元，較
上年度減列購置文具紙張及圖書期刊等經
費52千元。
12.法律學研究經費45,861千元，較上年度
減列清潔維護及購置資訊硬體設備等經費
707千元。
13.人文館基本行政工作維持費32,348千元
，較上年度減列通訊及購置文具紙張等經
費29千元。"
2015,5202403000,4186058000,無細項,總統府主管,中央研究院,國家生技研究園區,科學支出,1.5.4,"國家生技研究園區計畫總經費22,596,000千
元，97至103年度已編列10,727,593千元，
本年度續編第8年經費4,186,058千元，並納
入科學研究基金辦理，較上年度增列510,05
8千元。"
2015,5202409002,333000000,營建工程,總統府主管,中央研究院,一般建築及設備,科學支出,1.5.5.1,"本年度預算數之內容與上年度之比較如下：
1.環境變遷研究大樓新建工程計畫總經費98
6,304千元，100至103年度已編列352,384
千元，本年度續編第5年經費250,000千元
，較上年度增列130,000千元。
2.學人寄宿舍(2)新建工程計畫總經費569,0
00千元，分5年辦理，100至103年度已編
列486,000千元，本年度編列最後1年經費
83,000千元，較上年度減列6,000千元。"
2015,5202409011,0,交通及運輸設備,總統府主管,中央研究院,一般建築及設備,科學支出,1.5.5.2,"上年度汰購副首長專用車1輛、新購田野調
查貨車1輛及電動機車3輛預算業已編竣，所
列2,118千元如數減列。"
2015,5202409800,5410000,無細項,總統府主管,中央研究院,第一預備金,科學支出,1.5.6,仍照上年度預算數編列。
2015,3303010100,893227000,無細項,行政院主管,行政院,一般行政,行政支出,2.1.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費819,521千元，較上年度減列
精簡聘用1人、約僱1人及工友7人等人事
費22,518千元。
2.基本行政工作維持費71,934千元，較上年
度增列配合組改辦公室面積增加所需水電
費等2,480千元。
3.慶典佈置經費150千元，與上年度同。
4.檔案管理典藏掃描及維護經費397千元，
與上年度同。
5.資料蒐集及陳列經費1,225千元，與上年
度同。"
2015,3303010700,12206000,無細項,行政院主管,行政院,施政及法制業務,行政支出,2.1.2,"本年度預算數之內容與上年度之比較如下：
1.院會議事經費338千元，與上年度同。
2.施政報告編印經費684千元，與上年度同
。
3.公民投票審議委員會業務經費1,507千元
，與上年度同。
4.政策及法案之研審經費584千元，較上年
度減列出席費及國內旅費等1,000千元。
5.派員出國計畫經費426千元，較上年度減
列派員出國開會等經費24千元。
6.公共事務推展經費5,342千元，較上年度
增列院區警衛人員誤餐費及夜點費等500
千元。
7.法規審查研議及訴願審議督導3,325千元
，與上年度同。"
2015,3303011100,6750000,無細項,行政院主管,行政院,施政推展聯繫,行政支出,2.1.3,"本年度預算數6,750千元，係院長行使職權
之相關必要支出，與上年度同。"
2015,3303011500,40661000,無細項,行政院主管,行政院,科技發展研究諮詢,行政支出,2.1.4,"本年度預算數之內容與上年度之比較如下：
1.科技發展企劃及行政工作維持費35,701千
元，較上年度減列辦公室整修經費等168
千元。
2.政府科技概算審議經費1,210千元，與上
年度同。
3.科技會報及重要科技策略會議經費3,750
千元，較上年度增列邀請國外專家來台所
需相關費用等838千元。"
2015,3303011600,87785000,無細項,行政院主管,行政院,聯合服務業務,行政支出,2.1.5,"本年度預算數之內容與上年度之比較如下：
1.南部聯合服務業務經費69,024千元，較上
年度增列52,047千元，包括：
(1)基本運作經費9,024千元，較上年度增
列辦理各項政策說明會及協調會等經費
600千元。
(2)南部聯合服務中心興建辦公廳舍計畫
總經費437,801千元，分7年辦理，101
至103年度已編列16,587千元，本年度
續編第4年經費60,000千元，較上年度
增列51,447千元。
2.中部聯合服務業務經費6,626千元，與上
年度同。
3.東部聯合服務業務經費5,393千元，與上
年度同。
4.雲嘉南區聯合服務業務經費6,742千元，
與上年度同。"
2015,3303011800,8915000,無細項,行政院主管,行政院,國土及資通安全業務,行政支出,2.1.6,"本年度預算數之內容與上年度之比較如下：
1.國土安全規劃經費4,970千元，與上年度
同。
2.資通安全業務經費3,945千元，與上年度
同。"
2015,3303011900,8492000,無細項,行政院主管,行政院,災害防救業務,行政支出,2.1.7,"本年度預算數之內容與上年度之比較如下：
1.災害防救行政工作維持費2,120千元，與
上年度同。
2.全國災害防救業務推展經費6,372千元，
與上年度同。"
2015,3303012000,16437000,無細項,行政院主管,行政院,性別平等業務,行政支出,2.1.8,"本年度預算數之內容與上年度之比較如下：
1.性別平等綜合企劃業務經費2,345千元，
與上年度同。
2.推展性別平等權益促進工作經費1,611千
元，與上年度同。
3.推展性別平等權利保障工作經費3,763千
元，與上年度同。
4.性別平等推廣及發展工作經費8,718千元
，與上年度同。"
2015,3303012200,14095000,無細項,行政院主管,行政院,消費者保護業務,行政支出,2.1.9,"本年度預算數之內容與上年度之比較如下:
1.綜合企劃業務經費5,650千元，與上年度
同。
2.消費者保護督導業務經費4,115千元，與
上年度同。
3.消費者保護法制業務經費1,052千元，與
上年度同。
4.消費者保護官業務經費3,278千元，較上
年度減列補助消費者保護團體辦理塑化劑
污染食品事件團體訴訟經費30千元，增列
委託辦理市售商品檢驗等經費300千元，
計淨增270千元。"
2015,3303012300,64365000,無細項,行政院主管,行政院,資訊管理,行政支出,2.1.10,"本年度預算數之內容與上年度之比較如下：
1.資訊系統維運及更新經費39,365千元，較
上年度減列立法委員質詢答復系統改版建
置經費4,200千元。
2.建置性別平等資料庫計畫總經費133,000
千元，分5年辦理，101至103年度已編列5
0,460千元，本年度續編第4年經費25,000
千元，與上年度同。"
2015,3303012400,60924000,無細項,行政院主管,行政院,新聞傳播業務,行政支出,2.1.11,"本年度預算數之內容與上年度之比較如下：
1.新聞聯繫與發布經費2,975千元，與上年
度同。
2.法令政策溝通經費33,654千元，較上年度
減列辦理政策宣導活動經費664千元，增
列購置辦公設備經費262千元，計淨減402
千元。
3.輿情蒐報與研析經費6,184千元，較上年
度增列辦理輿情蒐報業務之臨時人員酬勞
及僱用派遣人員等經費339千元。
4.辦理縣市政府新聞聯繫及輿情蒐報經費9,
060千元，較上年度減列辦理政策宣導活
動等經費627千元。
5.國情資料編印及供應經費4,703千元，較
上年度增列辦理輿情蒐報業務之臨時人員
酬勞等經費240千元。
6.新聞影音圖像資料之攝製經費4,348千元
，較上年度增列辦理輿情蒐報業務之臨時
人員酬勞等經費450千元。"
2015,3303019002,11944000,營建工程,行政院主管,行政院,一般建築及設備,行政支出,2.1.12.1,"本年度預算數之內容與上年度之比較如下：
1.建置檔案庫房第一期工程及B棟大樓整修
等經費11,944千元。
2.上年度辦理餐廳大樓設置無障礙電梯與無
障礙設施改善及汰換中央空調系統工程等
預算業已編竣，所列10,544千元如數減列
。"
2015,3303019011,8020000,交通及運輸設備,行政院主管,行政院,一般建築及設備,行政支出,2.1.12.2,"本年度預算數之內容與上年度之比較如下：
1.汰換行動電話經費等180千元。
2.汰換院長座車1輛、秘書長座車1輛、政務
委員座車1輛及視導車1輛經費7,840千元
。
3.上年度汰換行動電話預算業已編竣，所列
180千元如數減列。"
2015,3303019019,3715000,其他設備,行政院主管,行政院,一般建築及設備,行政支出,2.1.12.3,"本年度預算數之內容與上年度之比較如下：
1.汰換影印機、冷氣機、室內攝影機及會議
室麥克風等事務設備經費3,715千元。
2.上年度汰換冷氣機、影印機及會議室麥克
風等事務設備預算業已編竣，所列3,715
千元如數減列。"
2015,3303019800,3700000,無細項,行政院主管,行政院,第一預備金,行政支出,2.1.13,仍照上年度預算數編列。
2015,3303100100,819714000,無細項,行政院主管,主計總處,一般行政,行政支出,2.2.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費788,083千元，較上年度增列
因應桃園縣升格直轄市，擴增調查樣本數
增加約僱人員6人及員工薪俸晉級差額等
經費8,120千元。
2.基本行政工作維持費29,382千元，與上年
度同。
3.政府內部控制規劃及督導經費2,249千元
，與上年度同。"
2015,3303101000,4001000,無細項,行政院主管,主計總處,中央總預算核編及執行,行政支出,2.2.2,"本年度預算數之內容與上年度之比較如下：
1.中央總預算之核編與執行經費3,286千元
，與上年度同。
2.地方政府主計業務之督導與查核經費715
千元，與上年度同。"
2015,3303101100,1928000,無細項,行政院主管,主計總處,特種基金預算核編及執行,行政支出,2.2.3,"本年度預算數1,928千元，係辦理特種基金
預算核編及執行經費，與上年度同。"
2015,3303101200,2586000,無細項,行政院主管,主計總處,會計及決算業務,行政支出,2.2.4,"本年度預算數之內容與上年度之比較如下：
1.中央總會計總決算之處理與核編經費1,87
7千元，較上年度減列出席費、國外旅費
等111千元。
2.特種基金會計事務處理及決算核編經費70
9千元，較上年度增列購置電腦耗材、紙
張及文具等經費111千元。"
2015,3303101300,33127000,無細項,行政院主管,主計總處,綜合統計業務,行政支出,2.2.5,"本年度預算數之內容與上年度之比較如下：
1.辦理統計行政與統計標準經費2,536千元
，較上年度減列租用資訊軟體使用權及購
置電腦耗材等經費455千元。
2.辦理綜合統計經費15,383千元，較上年度
減列教育消費支出調查等經費468千元，
增列辦理服務業營運及投資概況調查經費
755千元，計淨增287千元。
3.辦理家庭收支統計經費14,204千元，與上
年度同。
4.辦理綠色國民所得統計經費1,004千元，
與上年度同。"
2015,3303101400,92588000,無細項,行政院主管,主計總處,國勢普查業務,行政支出,2.2.6,"本年度預算數之內容與上年度之比較如下：
1.辦理農林漁牧業普查經費15,096千元，較
上年度增列試驗調查及普查前置作業等經
費14,395千元。
2.辦理工商及服務業普查經費4,133千元，
較上年度增列試驗調查等經費2,866千元
。
3.辦理人口及住宅普查經費1,096千元，較
上年度增列派員赴澳洲研習及轉錄統計相
關資料等經費302千元。
4.普查資訊供應管理及發展經費11,597千元
，較上年度減列臨時人員1人之酬金等經
費332千元。
5.國富統計經費703千元，與上年度同。
6.人力資源及專案調查經費33,727千元，較
上年度增列因應桃園縣升格直轄市，擴增
調查樣本數等經費1,000千元。
7.受僱員工薪資調查及生產力統計經費11,4
45千元，與上年度同。
8.各機關統計調查及調查網管理經費14,791
千元，較上年度增列因應桃園縣升格直轄
市，增加調查約僱人員之事務經費200千
元。"
2015,3303101500,15857000,無細項,行政院主管,主計總處,主計訓練業務,行政支出,2.2.7,"本年度預算數15,857千元，係辦理主計人員
訓練經費，較上年度增列講師鐘點費、學員
膳食費、教材費及交通費等1,210千元。"
2015,3303101600,49420000,無細項,行政院主管,主計總處,主計資訊業務,行政支出,2.2.8,"本年度預算數之內容與上年度之比較如下：
1.歲計會計資訊管理經費24,320千元，較上
年度增列政府歲計會計系統改版推動所需
之軟體維護、諮詢服務、上線輔導及委託
研究等經費1,723千元。 
2.統計及行政資訊管理經費5,866千元，較
上年度減列公文管理、行政知識網、主計
人員人事、主計訓練、薪資及內控系統維
護費等755千元。 
3.資訊系統維運管理經費19,234千元，較上
年度增列網際網路專線與頻寬升級等通訊
費及個人資料保護、資訊安全、資訊服務
管理制度導入等經費7,788千元。"
2015,3303109002,9568000,營建工程,行政院主管,主計總處,一般建築及設備,行政支出,2.2.9.1,"本年度預算數之內容與上年度之比較如下：
1.行政院區、廣博大樓、單身宿舍建築物及
主計人員訓練中心地下室等修繕工程經費
如列數。
2.上年度廣博大樓及主計人員訓練中心防漏
隔熱等修繕工程預算業已編竣，所列10,5
00千元如數減列。"
2015,3303109011,1905000,交通及運輸設備,行政院主管,主計總處,一般建築及設備,行政支出,2.2.9.2,新增汰換公務轎車3輛經費如列數。
2015,3303109019,43420000,其他設備,行政院主管,主計總處,一般建築及設備,行政支出,2.2.9.3,"本年度預算數之內容與上年度之比較如下：
1.辦理中央與地方公務機關、營業基金、非
營業特種基金等歲計、會計等系統功能增
修及改版等經費10,417千元。
2.統計普查資訊業務相關系統開發及擴充功
能等經費7,900千元。
3.提升行政事務相關資訊系統功能等經費3,
590千元。
4.強化資訊基礎環境建設及軟體共用機制、
加強資訊安全防護、精進對外服務網站應
用、推動辦公室行動化通訊與應用及相關
軟硬體擴充等經費11,450千元。
5.汰換與增購個人電腦、螢幕、筆記型電腦
、印表機、投影機及高階網路伺服器等經
費6,499千元。
6.購置SPSS統計處理軟體、辦公室軟體與防
毒軟體及升級作業系統等經費1,342千元
。
7.汰換與購置主計人員訓練中心閉路監視系
統及相關設備、掃描器、冷氣機及電傳視
訊等設備經費2,222千元。
8.上年度購置電腦軟硬體及印表機等設備預
算業已編竣，所列40,737千元如數減列。"
2015,3303109800,1850000,無細項,行政院主管,主計總處,第一預備金,行政支出,2.2.10,仍照上年度預算數編列。
2015,3303300100,353006000,無細項,行政院主管,人事行政總處,一般行政,行政支出,2.3.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費320,874千元，較上年度核實
減列人事費6,673千元。
2.基本行政工作維持費24,334千元，較上年
度減列郵資及電話費等325千元。
3.人事行政資訊工作經費7,395千元，較上
年度減列資訊服務費及設備費等813千元
。
4.人事資料登記管理經費403千元，較上年
度減列印刷等經費55千元。"
2015,3303300201,5488000,人事行政綜合規劃,行政院主管,人事行政總處,人事行政之政策規劃執行及發展,行政支出,2.3.2.1,"本年度預算數之內容與上年度之比較如下：
1.推動策略性人力資源管理及研議增修訂人
事法規經費2,621千元，較上年度增列委
託研究及人力資源管理創新獎勵等經費83
4千元。
2.加強人事機構組織與功能經費995千元，
較上年度減列委託研究等經費575千元，
增列辦理員工協助方案實地訪查等經費27
4千元，計淨減301千元。
3.外國人事政策與法制考察經費402千元，
較上年度增列國外旅費等44千元。
4.人事行政研究發展經費1,470千元，較上
年度減列辦理人事行政研究發展徵文獎勵
審查等經費192千元。"
2015,3303300202,2488000,加強組編人力運用,行政院主管,人事行政總處,人事行政之政策規劃執行及發展,行政支出,2.3.2.2,"本年度預算數之內容與上年度之比較如下：
1.審議編制員額及控管公務人力經費1,893
千元，較上年度減列委託研究經費等733
千元，增列郵資及電話費等25千元，計淨
減708千元。
2.辦理公務人員任免陞遷經費595千元，較
上年度減列任免遷調相關法制研議等經費
20千元。"
2015,3303300203,76952000,公務人員培訓與考用,行政院主管,人事行政總處,人事行政之政策規劃執行及發展,行政支出,2.3.2.3,"本年度預算數之內容與上年度之比較如下：
1.辦理選送公務人員出國研習業務經費41,6
40千元，較上年度減列選送優秀公務人員
出國進修學位等經費9千元。
2.規劃訓練進修經費5,687千元，較上年度
減列辦理中高階公務人員國內進修行政管
理與法制碩士在職學分班及各項訓練研習
活動等經費1,377千元，增列委託研究經
費800千元，計淨減577千元。
3.研提考試用人計畫分發考試及格人員業務
經費914千元，較上年度減列辦理考試錄
取人員分配作業相關經費86千元。
4.辦理公務人員考核、創新、獎懲及友好互
訪業務經費8,914千元，較上年度增列參
加國際性訓練與發展會議經費16千元。
5.辦理行政院跨領域科技管理人才在職培訓
發展計畫經費19,797千元，較上年度增列
選送行政院中高階公務人員出國專題研究
及短期研習等經費6,882千元。"
2015,3303300204,7496000,給與福利制度規劃,行政院主管,人事行政總處,人事行政之政策規劃執行及發展,行政支出,2.3.2.4,"本年度預算數之內容與上年度之比較如下：
1.規劃給與結構與標準經費331千元，較上
年度減列委託研究等經費774千元。
2.規劃及執行退休、資遣、撫卹及志願服務
等業務經費913千元，較上年度減列推動
志願服務等經費54千元，增列委託研究等
經費675千元，計淨增621千元。
3.推動生活津貼及其他給與業務經費88千元
，較上年度減列國內旅費等12千元。
4.辦理文康活動及福利業務經費6,164千元
，較上年度減列辦理文康活動等經費55千
元。"
2015,3303300205,56296000,創新e化人事服務,行政院主管,人事行政總處,人事行政之政策規劃執行及發展,行政支出,2.3.2.5,"本年度預算數之內容與上年度之比較如下：
1.人力資源資訊服務經費9,496千元，較上
年度減列資訊服務費及講座鐘點費等1,29
5千元。
2.全國公務人力資源智慧型資訊服務計畫，
總經費259,262千元，分5年辦理，101至1
03年度已編列146,193千元，本年度續編
第4年經費46,800千元，較上年度增列3,3
69千元。"
2015,3303309800,2000000,無細項,行政院主管,人事行政總處,第一預備金,行政支出,2.3.3,仍照上年度預算數編列。
2015,7503303400,13280000,無細項,行政院主管,人事行政總處,第一屆資深中央民代自願退職給付,退休撫卹給付支出,2.3.4,"本年度預算數之內容與上年度之比較如下：
1.第一屆資深國民大會代表自願退職給付7,
848千元，較上年度減列優惠存款利息差
額補助經費7,041千元。
2.第一屆資深立法委員自願退職給付5,432
千元，較上年度減列優惠存款利息差額補
助經費7千元。"
