款,項,目,節,科目編號,科目名稱,本年度預算數,上年度預算數,本年度與上年度比較,說明
1,2,1,  ,3202100100,一般行政,"183,883 ","183,301 ",582 ,"本年度預算數之內容與上年度之比較如下：
1.人員維持費153,029千元，與上年度同。
2.基本行政工作維持費30,854千元，較上年
度增列維護用電安全之低壓設備檢測及作
業系統軟體升級等經費582千元。"
1,2,2,  ,3202102000,諮詢研究業務,"20,398 ","19,561 ",837 ,"本年度預算數20,398千元，係國家安全諮詢
研究業務經費，較上年度增列國防、外交與
兩岸相關議題之研究經費837千元。"
1,2,3,  ,3202109000,一般建築及設備,-,"2,043 ","-2,043 ",  
1,2,3,1,3202109011,交通及運輸設備,-,"2,043 ","-2,043 ","上年度購置副首長專用車及機車等預算業已
編竣，所列2,043千元如數減列。"
1,2,4,  ,3202109800,第一預備金,500 ,500 ,-,仍照上年度預算數編列。
1,3,  ,  ,0002300000,國史館,"206,500 ","204,314 ","2,186 ",  
1,3,  ,999,5302300000,文化支出,"206,500 ","204,314 ","2,186 ",  
1,3,1,  ,5302300100,一般行政,"179,679 ","181,201 ","-1,522 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費158,670千元，與上年度同。
2.基本行政工作維持費19,725千元，較上年
度減列購置中央空調設備等經費1,379千
元。
3.資訊業務經費1,284千元，較上年度減列
配置資訊網路等經費143千元。"
1,3,2,  ,5302301000,史料採集與典藏,"17,366 ","13,968 ","3,398 ",  
1,3,2,1,5302301001,史料採集,"11,361 ","7,457 ","3,904 ","本年度預算數之內容與上年度之比較如下：
1.文物整理維護經費3,016千元，較上年度
減列文物拍攝及購置文物庫房設備等經費
91千元。
2.文物採集展覽應用經費8,345千元，較上
年度增列辦理文物特展等經費3,995千元
。"
1,3,2,2,5302301002,史料整編典藏閱覽,"6,005 ","6,511 ",-506 ,"本年度預算數6,005千元，係辦理史料圖書
採集整編典藏，較上年度減列購置圖書期刊
及機械設施維護保養等經費506千元。"
1,3,3,  ,5302302000,國史編纂,"9,115 ","8,805 ",310 ,"本年度預算數之內容與上年度之比較如下：
1.史籍編纂經費2,103千元，較上年度減列
史籍編撰稿費等49千元。
2.人物傳記編撰經費1,723千元，較上年度
增列資料印刷等經費245千元。
3.國家歷史資料庫經費503千元，較上年度
減列資料建檔及掃描等經費161千元。
4.史學研究叢刊編撰經費3,136千元，較上
年度增列辦理國際學術討論會等經費247
千元。
5.總統副總統史籍編纂經費1,650千元，較
上年度增列出版文物書籍等經費28千元。"
1,3,4,  ,5302309800,第一預備金,340 ,340 ,-,仍照上年度預算數編列。
1,4,  ,  ,0002310000,國史館臺灣文獻館,"98,114 ","121,505 ","-23,391 ",  
1,4,  ,999,5302310000,文化支出,"98,114 ","121,505 ","-23,391 ",  
1,4,1,  ,5302313000,一般行政,"79,000 ","102,278 ","-23,278 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費61,986千元，較上年度核實減
列人事費1,607千元。
2.基本行政工作維持費17,014千元，較上年
度減列設施及機械設備養護費、館內裝修
及消防機電設備改善工程等經費21,671千
元。"
1,4,2,  ,5302314000,文獻業務,"19,114 ","19,227 ",-113 ,  
1,4,2,1,5302314002,採集文獻暨文物大樓營運,"5,302 ","6,481 ","-1,179 ","本年度預算數5,302千元，係採集文獻暨文
物大樓營運所需經費，較上年度減列委辦費
、購置相關文物展示設備等經費1,179千元
。"
1,4,2,2,5302314003,整理文獻暨文獻大樓營運,"6,818 ","5,123 ","1,695 ","本年度預算數6,818千元，係整理文獻暨文
獻大樓營運所需經費，較上年度增列辦理臺
灣光復七十週年學術研討會相關經費、購置
多人多點觸控導覽資訊牆等1,695千元。"
1,4,2,3,5302314004,編輯文獻暨史蹟大樓營運,"6,994 ","7,623 ",-629 ,"本年度預算數6,994千元，係編輯文獻暨史
蹟大樓營運所需經費，較上年度減列委辦費
等629千元。"
1,5,  ,  ,0002400000,中央研究院,"15,539,287 ","15,055,366 ","483,921 ",  
1,5,  ,999,5202400000,科學支出,"15,539,287 ","15,055,366 ","483,921 ",  
1,5,1,  ,5202400100,一般行政,"411,713 ","429,124 ","-17,411 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費206,044千元，較上年度增列
員工薪俸晉級差額等經費4,473千元。
2.基本行政工作維持費69,191千元，較上年
度減列設施機械養護及房屋建築修繕等經
費10,850千元。
3.資訊技術服務經費91,819千元，較上年度
減列資訊操作維護及國內外網路專線租金
等經費6,736千元。
4.場地設施管理經費35,133千元，較上年度
減列清潔維護及設施機械養護等經費4,29
8千元。
5.幼稚園運作維持經費9,526千元，與上年
度同。"
1,5,2,  ,5202401000,一般學術研究及評議,"6,112,112 ","6,114,744 ","-2,632 ",  
1,5,2,1,5202401020,學術審議及研究獎助,"2,993,166 ","3,009,988 ","-16,822 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費2,537,249千元，較上年度增
列員額10人、員工薪俸晉級差額及退休退
職給付等經費63,056千元。
2.基本行政工作維持費220,980千元，較上
年度增列購置資訊軟體及圖書期刊等經費
8,212千元。
3.學術發展及交流合作經費112,707千元，
較上年度減列國際組織會費及資料印刷等
經費16,893千元。
4.儀器整合管理經費114,249千元，較上年
度增列儀器設備養護及清潔維護等經費2,
218千元。
5.公用儀器設施使用經費5,790千元，與上
年度同。
6.新增籌備召開第32次院士會議經費2,191
千元。
7.上年度召開第31次院士會議預算業已編竣
，所列75,606千元如數減列。"
1,5,2,2,5202401023,主題研究與人才培育,"3,118,946 ","3,104,756 ","14,190 ","本年度預算數之內容與上年度之比較如下：
1.人才延攬及培育計畫經費711,816千元，
較上年度減列購置研究耗材及儀器設備等
經費43,710千元。 
2.跨所（處）新領域之開發及研究環境之改
善經費1,022,254千元，較上年度減列購
置研究耗材及儀器設備養護等經費161,98
3千元。
3.跨所（處）、研究中心主題研究計畫經費
286,567千元，較上年度增列儀器設備養
護及學生獎助等經費17,266千元。
4.科學研究基金經費1,098,309千元，較上
年度增列辦理創新轉譯農學研究、重大疾
病之新藥與疫苗研發及健康雲跨領域研究
等計畫經費316,027千元。
5.上年度辦理農業生物技術創新研發等預算
業已編竣，所列113,410千元如數減列。"
1,5,3,  ,5202402000,自然及人文社會科學研究,"4,490,994 ","4,618,970 ","-127,976 ",  
1,5,3,1,5202402010,數理科學研究,"1,719,712 ","1,789,712 ","-70,000 ","本年度預算數之內容與上年度之比較如下：
1.數學研究經費63,832千元，較上年度減列
購置圖書期刊及印製資料等經費1,805千
元。
2.物理研究經費206,638千元，較上年度增
列購置儀器設備及辦理學術研討會等經費
317千元。
3.化學研究經費141,855千元，較上年度增
列辦理學術研討會及購置研究耗材等經費
145千元。
4.地球科學研究經費103,418千元，較上年
度減列機電空調改建工程經費70,000千元
，增列資訊操作維護及儀器設備養護等經
費106千元，計淨減69,894千元。
5.資訊科學研究經費161,913千元，較上年
度增列購置儀器設備及房屋建築養護等經
費134千元。
6.統計科學研究經費96,945千元，較上年度
增列辦理學術研討會及房屋建築養護等經
費99千元。
7.原子與分子科學研究經費189,519千元，
較上年度增列房屋建築養護及購置研究耗
材等經費194千元。
8.天文及天文物理科學研究經費344,260千
元，較上年度增列購置儀器設備及房屋建
築養護等經費352千元。
9.應用科學研究經費142,838千元，較上年
度增列房屋建築養護及辦理學術研討會等
經費181千元。
10.環境變遷研究經費91,594千元，較上年
度增列購置資訊軟硬體設備及辦理學術研
討會等經費95千元。
11.資訊科技創新研究經費176,900千元，較
上年度增列購置資訊硬體設備及辦理學術
研討會等經費182千元。"
1,5,3,2,5202402020,生命科學研究,"1,837,122 ","1,892,395 ","-55,273 ","本年度預算數之內容與上年度之比較如下：
1.植物暨微生物學研究經費153,937千元，
較上年度減列購置研究耗材及儀器設備等
經費3,381千元。
2.細胞與個體生物學研究經費107,992千元
，較上年度減列房屋建築養護及購置儀器
設備等經費2,373千元。
3.生物化學研究經費161,109千元，較上年
度減列儀器設備養護及購置等經費3,540
千元。
4.生物醫學科學研究經費397,346千元，較
上年度減列對學生獎助及購置儀器設備等
經費26,528千元。
5.分子生物研究經費283,360千元，較上年
度減列對學生獎助及購置儀器設備等經費
6,226千元。
6.農業生物科技研究經費137,042千元，較
上年度減列購置研究耗材及儀器設備等經
費2,138千元。
7.生命科學圖書館經費71,460千元，較上年
度減列電子資料庫使用及儀器設備養護等
經費179千元。
8.臨海研究站經費46,614千元，較上年度減
列購置研究耗材及房屋建築養護等經費1,
024千元。
9.生物多樣性研究計畫經費105,157千元，
較上年度增列儀器設備養護及清潔維護等
經費12,679千元。
10.基因體研究計畫經費320,732千元，較上
年度減列房屋建築修繕及購置儀器設備等
經費21,412千元。
11.南部生物科技計畫經費52,373千元，較
上年度減列房屋建築修繕及購置儀器設備
等經費1,151千元。"
1,5,3,3,5202402030,人文及社會科學研究,"934,160 ","936,863 ","-2,703 ","本年度預算數之內容與上年度之比較如下：
1.史學及考文研究經費182,798千元，較上
年度減列研究大樓結構補強工程經費12,0
00千元，增列研究助理及儀器設備養護等
經費4,019千元，計淨減7,981千元。
2.民族學研究經費69,232千元，較上年度增
列房屋建築養護及對學生獎助等經費2,26
8千元。
3.近代史研究及史料蒐集整編經費85,149千
元，較上年度減列房屋建築養護及資料印
製等經費76千元。
4.經濟研究經費70,056千元，較上年度減列
購置資訊硬體設備及圖書期刊等經費63千
元。
5.歐美研究經費61,205千元，較上年度減列
購置資訊軟硬體設備及圖書期刊等經費55
千元。
6.中國文哲研究經費50,824千元，較上年度
增列資訊操作維護及對學生獎助等經費65
6千元。
7.台灣史研究經費54,471千元，較上年度減
列購置資訊軟體及圖書期刊等經費49千元
。
8.社會學研究經費64,540千元，較上年度增
列對學生獎助及購置軟硬體設備等經費1,
770千元。
9.語言學研究經費55,991千元，較上年度增
列研究助理及購置圖書期刊等經費1,017
千元。
10.政治學研究經費32,924千元，較上年度
增列購置圖書期刊及房屋建築養護等經費
598千元。
11.人文社會科學研究經費128,761千元，較
上年度減列購置文具紙張及圖書期刊等經
費52千元。
12.法律學研究經費45,861千元，較上年度
減列清潔維護及購置資訊硬體設備等經費
707千元。
13.人文館基本行政工作維持費32,348千元
，較上年度減列通訊及購置文具紙張等經
費29千元。"
1,5,4,  ,5202403000,國家生技研究園區,"4,186,058 ","3,676,000 ","510,058 ","國家生技研究園區計畫總經費22,596,000千
元，97至103年度已編列10,727,593千元，
本年度續編第8年經費4,186,058千元，並納
入科學研究基金辦理，較上年度增列510,05
8千元。"
1,5,5,  ,5202409000,一般建築及設備,"333,000 ","211,118 ","121,882 ",  
1,5,5,1,5202409002,營建工程,"333,000 ","209,000 ","124,000 ","本年度預算數之內容與上年度之比較如下：
1.環境變遷研究大樓新建工程計畫總經費98
6,304千元，100至103年度已編列352,384
千元，本年度續編第5年經費250,000千元
，較上年度增列130,000千元。
2.學人寄宿舍(2)新建工程計畫總經費569,0
00千元，分5年辦理，100至103年度已編
列486,000千元，本年度編列最後1年經費
83,000千元，較上年度減列6,000千元。"
1,5,5,2,5202409011,交通及運輸設備,-,"2,118 ","-2,118 ","上年度汰購副首長專用車1輛、新購田野調
查貨車1輛及電動機車3輛預算業已編竣，所
列2,118千元如數減列。"
1,5,6,  ,5202409800,第一預備金,"5,410 ","5,410 ",-,仍照上年度預算數編列。
2,  ,  ,  ,0003000000,行政院主管,"26,015,660 ","24,913,135 ","1,102,525 ",  
2,1,  ,  ,0003010000,行政院,"1,241,236 ","1,203,771 ","37,465 ",  
2,1,  ,999,3303010000,行政支出,"1,241,236 ","1,203,771 ","37,465 ",  
2,1,1,  ,3303010100,一般行政,"893,227 ","913,265 ","-20,038 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費819,521千元，較上年度減列
精簡聘用1人、約僱1人及工友7人等人事
費22,518千元。
2.基本行政工作維持費71,934千元，較上年
度增列配合組改辦公室面積增加所需水電
費等2,480千元。
3.慶典佈置經費150千元，與上年度同。
4.檔案管理典藏掃描及維護經費397千元，
與上年度同。
5.資料蒐集及陳列經費1,225千元，與上年
度同。"
2,1,2,  ,3303010700,施政及法制業務,"12,206 ","12,730 ",-524 ,"本年度預算數之內容與上年度之比較如下：
1.院會議事經費338千元，與上年度同。
2.施政報告編印經費684千元，與上年度同
。
3.公民投票審議委員會業務經費1,507千元
，與上年度同。
4.政策及法案之研審經費584千元，較上年
度減列出席費及國內旅費等1,000千元。
5.派員出國計畫經費426千元，較上年度減
列派員出國開會等經費24千元。
6.公共事務推展經費5,342千元，較上年度
增列院區警衛人員誤餐費及夜點費等500
千元。
7.法規審查研議及訴願審議督導3,325千元
，與上年度同。"
2,1,3,  ,3303011100,施政推展聯繫,"6,750 ","6,750 ",-,"本年度預算數6,750千元，係院長行使職權
之相關必要支出，與上年度同。"
2,1,4,  ,3303011500,科技發展研究諮詢,"40,661 ","39,991 ",670 ,"本年度預算數之內容與上年度之比較如下：
1.科技發展企劃及行政工作維持費35,701千
元，較上年度減列辦公室整修經費等168
千元。
2.政府科技概算審議經費1,210千元，與上
年度同。
3.科技會報及重要科技策略會議經費3,750
千元，較上年度增列邀請國外專家來台所
需相關費用等838千元。"
2,1,5,  ,3303011600,聯合服務業務,"87,785 ","35,738 ","52,047 ","本年度預算數之內容與上年度之比較如下：
1.南部聯合服務業務經費69,024千元，較上
年度增列52,047千元，包括：
(1)基本運作經費9,024千元，較上年度增
列辦理各項政策說明會及協調會等經費
600千元。
(2)南部聯合服務中心興建辦公廳舍計畫
總經費437,801千元，分7年辦理，101
至103年度已編列16,587千元，本年度
續編第4年經費60,000千元，較上年度
增列51,447千元。
2.中部聯合服務業務經費6,626千元，與上
年度同。
3.東部聯合服務業務經費5,393千元，與上
年度同。
4.雲嘉南區聯合服務業務經費6,742千元，
與上年度同。"
2,1,6,  ,3303011800,國土及資通安全業務,"8,915 ","8,915 ",-,"本年度預算數之內容與上年度之比較如下：
1.國土安全規劃經費4,970千元，與上年度
同。
2.資通安全業務經費3,945千元，與上年度
同。"
2,1,7,  ,3303011900,災害防救業務,"8,492 ","8,492 ",-,"本年度預算數之內容與上年度之比較如下：
1.災害防救行政工作維持費2,120千元，與
上年度同。
2.全國災害防救業務推展經費6,372千元，
與上年度同。"
2,1,8,  ,3303012000,性別平等業務,"16,437 ","16,437 ",-,"本年度預算數之內容與上年度之比較如下：
1.性別平等綜合企劃業務經費2,345千元，
與上年度同。
2.推展性別平等權益促進工作經費1,611千
元，與上年度同。
3.推展性別平等權利保障工作經費3,763千
元，與上年度同。
4.性別平等推廣及發展工作經費8,718千元
，與上年度同。"
2,1,9,  ,3303012200,消費者保護業務,"14,095 ","13,825 ",270 ,"本年度預算數之內容與上年度之比較如下:
1.綜合企劃業務經費5,650千元，與上年度
同。
2.消費者保護督導業務經費4,115千元，與
上年度同。
3.消費者保護法制業務經費1,052千元，與
上年度同。
4.消費者保護官業務經費3,278千元，較上
年度減列補助消費者保護團體辦理塑化劑
污染食品事件團體訴訟經費30千元，增列
委託辦理市售商品檢驗等經費300千元，
計淨增270千元。"
2,1,10,  ,3303012300,資訊管理,"64,365 ","68,565 ","-4,200 ","本年度預算數之內容與上年度之比較如下：
1.資訊系統維運及更新經費39,365千元，較
上年度減列立法委員質詢答復系統改版建
置經費4,200千元。
2.建置性別平等資料庫計畫總經費133,000
千元，分5年辦理，101至103年度已編列5
0,460千元，本年度續編第4年經費25,000
千元，與上年度同。"
2,1,11,  ,3303012400,新聞傳播業務,"60,924 ","60,924 ",-,"本年度預算數之內容與上年度之比較如下：
1.新聞聯繫與發布經費2,975千元，與上年
度同。
2.法令政策溝通經費33,654千元，較上年度
減列辦理政策宣導活動經費664千元，增
列購置辦公設備經費262千元，計淨減402
千元。
3.輿情蒐報與研析經費6,184千元，較上年
度增列辦理輿情蒐報業務之臨時人員酬勞
及僱用派遣人員等經費339千元。
4.辦理縣市政府新聞聯繫及輿情蒐報經費9,
060千元，較上年度減列辦理政策宣導活
動等經費627千元。
5.國情資料編印及供應經費4,703千元，較
上年度增列辦理輿情蒐報業務之臨時人員
酬勞等經費240千元。
6.新聞影音圖像資料之攝製經費4,348千元
，較上年度增列辦理輿情蒐報業務之臨時
人員酬勞等經費450千元。"
2,1,12,  ,3303019000,一般建築及設備,"23,679 ","14,439 ","9,240 ",  
2,1,12,1,3303019002,營建工程,"11,944 ","10,544 ","1,400 ","本年度預算數之內容與上年度之比較如下：
1.建置檔案庫房第一期工程及B棟大樓整修
等經費11,944千元。
2.上年度辦理餐廳大樓設置無障礙電梯與無
障礙設施改善及汰換中央空調系統工程等
預算業已編竣，所列10,544千元如數減列
。"
2,1,12,2,3303019011,交通及運輸設備,"8,020 ",180 ,"7,840 ","本年度預算數之內容與上年度之比較如下：
1.汰換行動電話經費等180千元。
2.汰換院長座車1輛、秘書長座車1輛、政務
委員座車1輛及視導車1輛經費7,840千元
。
3.上年度汰換行動電話預算業已編竣，所列
180千元如數減列。"
2,1,12,3,3303019019,其他設備,"3,715 ","3,715 ",-,"本年度預算數之內容與上年度之比較如下：
1.汰換影印機、冷氣機、室內攝影機及會議
室麥克風等事務設備經費3,715千元。
2.上年度汰換冷氣機、影印機及會議室麥克
風等事務設備預算業已編竣，所列3,715
千元如數減列。"
2,1,13,  ,3303019800,第一預備金,"3,700 ","3,700 ",-,仍照上年度預算數編列。
2,2,  ,  ,0003100000,主計總處,"1,075,964 ","1,035,959 ","40,005 ",  
2,2,  ,999,3303100000,行政支出,"1,075,964 ","1,035,959 ","40,005 ",  
2,2,1,  ,3303100100,一般行政,"819,714 ","811,594 ","8,120 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費788,083千元，較上年度增列
因應桃園縣升格直轄市，擴增調查樣本數
增加約僱人員6人及員工薪俸晉級差額等
經費8,120千元。
2.基本行政工作維持費29,382千元，與上年
度同。
3.政府內部控制規劃及督導經費2,249千元
，與上年度同。"
2,2,2,  ,3303101000,中央總預算核編及執行,"4,001 ","4,001 ",-,"本年度預算數之內容與上年度之比較如下：
1.中央總預算之核編與執行經費3,286千元
，與上年度同。
2.地方政府主計業務之督導與查核經費715
千元，與上年度同。"
2,2,3,  ,3303101100,特種基金預算核編及執行,"1,928 ","1,928 ",-,"本年度預算數1,928千元，係辦理特種基金
預算核編及執行經費，與上年度同。"
2,2,4,  ,3303101200,會計及決算業務,"2,586 ","2,586 ",-,"本年度預算數之內容與上年度之比較如下：
1.中央總會計總決算之處理與核編經費1,87
7千元，較上年度減列出席費、國外旅費
等111千元。
2.特種基金會計事務處理及決算核編經費70
9千元，較上年度增列購置電腦耗材、紙
張及文具等經費111千元。"
2,2,5,  ,3303101300,綜合統計業務,"33,127 ","33,295 ",-168 ,"本年度預算數之內容與上年度之比較如下：
1.辦理統計行政與統計標準經費2,536千元
，較上年度減列租用資訊軟體使用權及購
置電腦耗材等經費455千元。
2.辦理綜合統計經費15,383千元，較上年度
減列教育消費支出調查等經費468千元，
增列辦理服務業營運及投資概況調查經費
755千元，計淨增287千元。
3.辦理家庭收支統計經費14,204千元，與上
年度同。
4.辦理綠色國民所得統計經費1,004千元，
與上年度同。"
2,2,6,  ,3303101400,國勢普查業務,"92,588 ","74,157 ","18,431 ","本年度預算數之內容與上年度之比較如下：
1.辦理農林漁牧業普查經費15,096千元，較
上年度增列試驗調查及普查前置作業等經
費14,395千元。
2.辦理工商及服務業普查經費4,133千元，
較上年度增列試驗調查等經費2,866千元
。
3.辦理人口及住宅普查經費1,096千元，較
上年度增列派員赴澳洲研習及轉錄統計相
關資料等經費302千元。
4.普查資訊供應管理及發展經費11,597千元
，較上年度減列臨時人員1人之酬金等經
費332千元。
5.國富統計經費703千元，與上年度同。
6.人力資源及專案調查經費33,727千元，較
上年度增列因應桃園縣升格直轄市，擴增
調查樣本數等經費1,000千元。
7.受僱員工薪資調查及生產力統計經費11,4
45千元，與上年度同。
8.各機關統計調查及調查網管理經費14,791
千元，較上年度增列因應桃園縣升格直轄
市，增加調查約僱人員之事務經費200千
元。"
2,2,7,  ,3303101500,主計訓練業務,"15,857 ","14,647 ","1,210 ","本年度預算數15,857千元，係辦理主計人員
訓練經費，較上年度增列講師鐘點費、學員
膳食費、教材費及交通費等1,210千元。"
2,2,8,  ,3303101600,主計資訊業務,"49,420 ","40,664 ","8,756 ","本年度預算數之內容與上年度之比較如下：
1.歲計會計資訊管理經費24,320千元，較上
年度增列政府歲計會計系統改版推動所需
之軟體維護、諮詢服務、上線輔導及委託
研究等經費1,723千元。 
2.統計及行政資訊管理經費5,866千元，較
上年度減列公文管理、行政知識網、主計
人員人事、主計訓練、薪資及內控系統維
護費等755千元。 
3.資訊系統維運管理經費19,234千元，較上
年度增列網際網路專線與頻寬升級等通訊
費及個人資料保護、資訊安全、資訊服務
管理制度導入等經費7,788千元。"
2,2,9,  ,3303109000,一般建築及設備,"54,893 ","51,237 ","3,656 ",  
2,2,9,1,3303109002,營建工程,"9,568 ","10,500 ",-932 ,"本年度預算數之內容與上年度之比較如下：
1.行政院區、廣博大樓、單身宿舍建築物及
主計人員訓練中心地下室等修繕工程經費
如列數。
2.上年度廣博大樓及主計人員訓練中心防漏
隔熱等修繕工程預算業已編竣，所列10,5
00千元如數減列。"
2,2,9,2,3303109011,交通及運輸設備,"1,905 ",-,"1,905 ",新增汰換公務轎車3輛經費如列數。
2,2,9,3,3303109019,其他設備,"43,420 ","40,737 ","2,683 ","本年度預算數之內容與上年度之比較如下：
1.辦理中央與地方公務機關、營業基金、非
營業特種基金等歲計、會計等系統功能增
修及改版等經費10,417千元。
2.統計普查資訊業務相關系統開發及擴充功
能等經費7,900千元。
3.提升行政事務相關資訊系統功能等經費3,
590千元。
4.強化資訊基礎環境建設及軟體共用機制、
加強資訊安全防護、精進對外服務網站應
用、推動辦公室行動化通訊與應用及相關
軟硬體擴充等經費11,450千元。
5.汰換與增購個人電腦、螢幕、筆記型電腦
、印表機、投影機及高階網路伺服器等經
費6,499千元。
6.購置SPSS統計處理軟體、辦公室軟體與防
毒軟體及升級作業系統等經費1,342千元
。
7.汰換與購置主計人員訓練中心閉路監視系
統及相關設備、掃描器、冷氣機及電傳視
訊等設備經費2,222千元。
8.上年度購置電腦軟硬體及印表機等設備預
算業已編竣，所列40,737千元如數減列。"
2,2,10,  ,3303109800,第一預備金,"1,850 ","1,850 ",-,仍照上年度預算數編列。
2,3,  ,  ,0003300000,人事行政總處,"2,481,467 ","2,523,644 ","-42,177 ","本科目上年度法定預算數2,517,253千元，
由原行政院研究發展考核委員會「一般行政
」及「綜合計畫」科目移入6,391千元，共
計如表列上年度預算數。"
2,3,  ,999,3303300000,行政支出,"503,726 ","503,855 ",-129 ,  
2,3,1,  ,3303300100,一般行政,"353,006 ","360,872 ","-7,866 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費320,874千元，較上年度核實
減列人事費6,673千元。
2.基本行政工作維持費24,334千元，較上年
度減列郵資及電話費等325千元。
3.人事行政資訊工作經費7,395千元，較上
年度減列資訊服務費及設備費等813千元
。
4.人事資料登記管理經費403千元，較上年
度減列印刷等經費55千元。"
2,3,2,  ,3303300200,人事行政之政策規劃執行及發展,"148,720 ","140,983 ","7,737 ",  
2,3,2,1,3303300201,人事行政綜合規劃,"5,488 ","5,103 ",385 ,"本年度預算數之內容與上年度之比較如下：
1.推動策略性人力資源管理及研議增修訂人
事法規經費2,621千元，較上年度增列委
託研究及人力資源管理創新獎勵等經費83
4千元。
2.加強人事機構組織與功能經費995千元，
較上年度減列委託研究等經費575千元，
增列辦理員工協助方案實地訪查等經費27
4千元，計淨減301千元。
3.外國人事政策與法制考察經費402千元，
較上年度增列國外旅費等44千元。
4.人事行政研究發展經費1,470千元，較上
年度減列辦理人事行政研究發展徵文獎勵
審查等經費192千元。"
2,3,2,2,3303300202,加強組編人力運用,"2,488 ","3,216 ",-728 ,"本年度預算數之內容與上年度之比較如下：
1.審議編制員額及控管公務人力經費1,893
千元，較上年度減列委託研究經費等733
千元，增列郵資及電話費等25千元，計淨
減708千元。
2.辦理公務人員任免陞遷經費595千元，較
上年度減列任免遷調相關法制研議等經費
20千元。"
2,3,2,3,3303300203,公務人員培訓與考用,"76,952 ","70,726 ","6,226 ","本年度預算數之內容與上年度之比較如下：
1.辦理選送公務人員出國研習業務經費41,6
40千元，較上年度減列選送優秀公務人員
出國進修學位等經費9千元。
2.規劃訓練進修經費5,687千元，較上年度
減列辦理中高階公務人員國內進修行政管
理與法制碩士在職學分班及各項訓練研習
活動等經費1,377千元，增列委託研究經
費800千元，計淨減577千元。
3.研提考試用人計畫分發考試及格人員業務
經費914千元，較上年度減列辦理考試錄
取人員分配作業相關經費86千元。
4.辦理公務人員考核、創新、獎懲及友好互
訪業務經費8,914千元，較上年度增列參
加國際性訓練與發展會議經費16千元。
5.辦理行政院跨領域科技管理人才在職培訓
發展計畫經費19,797千元，較上年度增列
選送行政院中高階公務人員出國專題研究
及短期研習等經費6,882千元。"
