,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 3,031千元
　　減列 業務費21,040千元
　　增列 設備及投資21,871千元
　　增列 獎補助費2,200千元
　"
,,08,,"　　72071800100
　　景觀工程","383,629","428,847","379,755","-45,218",
,,,01,"　　　72071800101
　　　綠化維護","204,368","163,130","154,131","41,238","一、本科目包括綠化維護
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費250千元
　　業務費204,118千元
　　獎補助費0千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 41,238千元
　　增列 業務費41,888千元
　　減列 獎補助費650千元
　"
,,,02,"　　　72071800102
　　　育苗管理","4,761","4,930","3,535",-169,"一、本科目包括育苗管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費4,761千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 169千元
　　減列 業務費169千元
　"
,,,03,"　　　72071800103
　　　景觀工程","174,500","260,787","222,089","-86,287","一、本科目包括景觀工程
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資174,500千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 86,287千元
　　減列 設備及投資86,287千元
　"
,,09,,"　　72071800200
　　公園管理","715,925","500,693","933,575","215,232",
,,,01,"　　　72071800201
　　　公園管理","348,547","232,286","195,260","116,261","一、本科目包括公園管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費250千元
　　業務費348,297千元
　　獎補助費0千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 116,261千元
　　增列 業務費116,961千元
　　減列 獎補助費700千元
　"
,,,02,"　　　72071800202
　　　公園工程","367,378","268,407","738,315","98,971","一、本科目包括公園工程
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資367,378千元
　　獎補助費0千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 98,971千元
　　增列 設備及投資99,271千元
　　減列 獎補助費300千元
　"
,,10,,"　　73071807900
　　第一預備金","6,400","6,400",-,-,
,,,01,"　　　73071807901
　　　第一預備金","6,400","6,400",-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金6,400千元
　"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
