,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
,,,02,"　　　77142700302
　　　保安警察業務",458,458,411,-,"一、本科目包括保安警察業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費458千元
　"
,,,03,"　　　77142700303
　　　刑事警察業務","34,658","32,958","25,315","1,700","一、本科目包括刑事警察業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費5,500千元
　　業務費26,958千元
　　獎補助費2,200千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,700千元
　　增列 業務費600千元
　　增列 獎補助費1,100千元
　"
,,,04,"　　　77142700304
　　　交通警察業務","112,804","78,564","82,232","34,240","一、本科目包括交通警察業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費13,551千元
　　業務費98,437千元
　　獎補助費816千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 34,240千元
　　增列 人事費1千元
　　增列 業務費33,939千元
　　增列 獎補助費300千元
　"
,,,05,"　　　77142700305
　　　少年警察業務","4,941","4,941","4,107",-,"一、本科目包括少年警察業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費4,941千元
　"
,,,06,"　　　77142700306
　　　婦幼警察業務","2,040","2,040","1,663",-,"一、本科目包括婦幼警察業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費2,040千元
　"
,,04,,"　　77142707900
　　第一預備金","7,500","7,500",-,-,
,,,01,"　　　77142707901
　　　第一預備金","7,500","7,500",-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金7,500千元
　"
,,05,,"　　77142709000
　　一般建築及設備","527,624","915,433","776,844","-387,809",
,,,01,"　　　77142709001
　　　局本部建築及
　　　設備","429,484","830,512","638,669","-401,028","一、本科目包括局本部建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資429,484千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 401,028千元
　　減列 設備及投資401,028千元
　"
,,,02,"　　　77142709002
　　　分局建築及設
　　　備","32,071","42,311","75,334","-10,240","一、本科目包括分局建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資32,071千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 10,240千元
　　減列 設備及投資10,240千元
　"
,,,03,"　　　77142709003
　　　直屬隊建築及
　　　設備","66,069","42,610","62,841","23,459","一、本科目包括直屬隊建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資66,069千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 23,459千元
　　增列 設備及投資23,459千元
　"
,,,,,,,,,
