,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 658千元
　　減列 人事費1,022千元
　　增列 業務費358千元
　　增列 獎補助費6千元
　"
,,02,,"　　68132611000
　　勞動檢查業務","4,330","4,733","5,383",-403,
,,,01,"　　　68132611001
　　　勞動檢查","4,330","4,733","5,383",-403,"一、本科目包括勞動檢查
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費4,330千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 403千元
　　減列 業務費403千元
　"
,,03,,"　　68132619000
　　一般建築及設備","1,342",650,"1,175",692,
,,,01,"　　　68132619001
　　　一般建築及設
　　　備","1,342",650,"1,175",692,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資1,342千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 692千元
　　增列 設備及投資692千元
　"
,003,,,"　00132620000
　臺中市就業服務處","54,566","44,558","34,131","10,008",
,,01,,"　　68132620100
　　一般行政","21,262","20,792","15,852",470,
,,,01,"　　　68132620101
　　　行政管理","21,262","20,792","15,852",470,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費19,268千元
　　業務費1,982千元
　　獎補助費12千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 470千元
　　增列 業務費458千元
　　增列 獎補助費12千元
　"
,,02,,"　　69132620200
　　就業服務業務","32,094","21,650","17,397","10,444",
,,,01,"　　　69132620201
　　　就業服務","32,094","21,650","17,397","10,444","一、本科目包括就業服務
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費19,902千元
　　獎補助費12,192千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 10,444千元
　　減列 業務費148千元
　　增列 獎補助費10,592千元
　"
,,03,,"　　69132629000
　　一般建築及設備","1,210","2,116",882,-906,
,,,01,"　　　69132629001
　　　一般建築及設
　　　備","1,210","2,116",882,-906,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資1,210千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 906千元
　　減列 設備及投資906千元
　"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
