,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 39,530千元
　　減列 設備及投資38,030千元
　　減列 獎補助費1,500千元
　"
,002,,,"　00031010000
　臺中市孔廟忠烈祠
　聯合管理所","14,654","15,612","14,911",-958,
,,01,,"　　33031010100
　　一般行政","14,520","15,398","13,242",-878,
,,,01,"　　　33031010101
　　　行政管理","9,176","9,354","8,550",-178,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費6,396千元
　　業務費2,756千元
　　獎補助費24千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 178千元
　　減列 人事費948千元
　　增列 業務費764千元
　　增列 獎補助費6千元
　"
　,　,　,　,　,　,　,　,　,　
,,,02,"　　　33031010102
　　　孔廟忠烈祠管
　　　理維護","5,344","6,044","4,692",-700,"一、本科目包括孔廟忠烈祠管理維護
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費75千元
　　業務費5,269千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 700千元
　　減列 業務費700千元
　"
,,02,,"　　33031019000
　　一般建築及設備",134,214,"1,669",-80,
,,,01,"　　　33031019001
　　　一般建築及設
　　　備",134,214,"1,669",-80,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資134千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 80千元
　　減列 設備及投資80千元
　"
,003,,,"　00031020000
　臺中市生命禮儀管
　理所","358,990","302,195","167,634","56,795",
,,01,,"　　68031020100
　　一般行政","59,484","47,685","42,459","11,799",
,,,01,"　　　68031020101
　　　行政管理","59,484","47,685","42,459","11,799","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費58,073千元
　　業務費1,291千元
　　獎補助費120千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 11,799千元
　　增列 人事費11,919千元
　　減列 業務費102千元
　　減列 獎補助費18千元
　"
,,02,,"　　68031020400
　　殯葬管理","144,256","96,247","87,171","48,009",
,,,01,"　　　68031020401
　　　殯葬業務","84,303","82,954","74,777","1,349","一、本科目包括殯葬業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,402千元
　　業務費82,901千元
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,349千元
　　增列 業務費1,349千元
　"
,,,02,"　　　68031020402
　　　公墓管理","59,953","13,293","12,394","46,660","一、本科目包括公墓管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費179千元
　　業務費59,774千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 46,660千元
　　增列 人事費128千元
　　增列 業務費46,532千元
　"
,,03,,"　　68031029000
　　一般建築及設備","155,250","158,263","38,004","-3,013",
,,,01,"　　　68031029001
　　　一般建築及設
　　　備","155,250","158,263","38,004","-3,013","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資155,250千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 3,013千元
　　減列 設備及投資3,013千元
　"
,004,,,"　00031030000
　臺中市中區戶政事
　務所","10,746","10,776","10,272",-30,
,,01,,"　　33031030100
　　一般行政","9,035","9,065","8,556",-30,
,,,01,"　　　33031030101
　　　行政管理","9,035","9,065","8,556",-30,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費7,673千元
　　業務費1,302千元
　　獎補助費60千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 30千元
　　減列 人事費25千元
　　減列 業務費5千元
　"
,,02,,"　　33031030900
　　戶政業務","1,611","1,611","1,616",-,
,,,01,"　　　33031030901
　　　戶政業務","1,611","1,611","1,616",-,"一、本科目包括戶政業務
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費166千元
　　業務費1,445千元
　"
,,03,,"　　33031039000
　　一般建築及設備",100,100,100,-,
,,,01,"　　　33031039001
　　　一般建築及設
　　　備",100,100,100,-,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資100千元
　"
,005,,,"　00031040000
　臺中市東區戶政事
　務所","24,906","24,590","23,685",316,
,,01,,"　　33031040100
　　一般行政","21,775","21,641","20,914",134,
,,,01,"　　　33031040101
　　　行政管理","21,775","21,641","20,914",134,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費21,013千元
　　業務費672千元
　　獎補助費90千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 134千元
　　增列 人事費111千元
　　增列 業務費23千元
　"
,,02,,"　　33031040900
　　戶政業務","2,631","2,616","2,671",15,
,,,01,"　　　33031040901
　　　戶政業務","2,631","2,616","2,671",15,"一、本科目包括戶政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費332千元
　　業務費2,299千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 15千元
　　增列 業務費15千元
　"
,,03,,"　　33031049000
　　一般建築及設備",500,333,100,167,
,,,01,"　　　33031049001
　　　一般建築及設
　　　備",500,333,100,167,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資500千元
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 167千元
　　增列 設備及投資167千元
　"
,006,,,"　00031050000
　臺中市西區戶政事
　務所","35,141","35,169","33,444",-28,
,,01,,"　　33031050100
　　一般行政","27,940","27,969","26,387",-29,
,,,01,"　　　33031050101
　　　行政管理","27,940","27,969","26,387",-29,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費26,332千元
　　業務費1,506千元
　　獎補助費102千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 29千元
　　減列 人事費51千元
　　增列 業務費22千元
　"
,,02,,"　　33031050900
　　戶政業務","7,101","7,100","6,957",1,
,,,01,"　　　33031050901
　　　戶政業務","7,101","7,100","6,957",1,"一、本科目包括戶政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費439千元
　　業務費6,662千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1千元
　　增列 業務費1千元
　"
,,03,,"　　33031059000
　　一般建築及設備",100,100,100,-,
,,,01,"　　　33031059001
　　　一般建築及設
　　　備",100,100,100,-,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資100千元
　"
,007,,,"　00031060000
　臺中市南區戶政事
　務所","27,658","29,071","27,377","-1,413",
,,01,,"　　33031060100
　　一般行政","24,462","25,835","23,676","-1,373",
,,,01,"　　　33031060101
　　　行政管理","24,462","25,835","23,676","-1,373","一、本科目包括行政管理
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費23,295千元
　　業務費1,083千元
　　獎補助費84千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,373千元
　　減列 人事費1,396千元
　　增列 業務費23千元
　"
,,02,,"　　33031060900
　　戶政業務","3,096","3,136","3,125",-40,
,,,01,"　　　33031060901
　　　戶政業務","3,096","3,136","3,125",-40,"一、本科目包括戶政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費434千元
　　業務費2,662千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 40千元
　　減列 業務費40千元
　"
,,03,,"　　33031069000
　　一般建築及設備",100,100,576,-,
,,,01,"　　　33031069001
　　　一般建築及設
　　　備",100,100,576,-,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資100千元
　"
,008,,,"　00031070000
　臺中市北區戶政事
　務所","42,447","41,884","40,384",563,
,,01,,"　　33031070100
　　一般行政","37,911","37,888","36,376",23,
,,,01,"　　　33031070101
　　　行政管理","37,911","37,888","36,376",23,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費36,229千元
　　業務費1,580千元
　　獎補助費102千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 23千元
　　增列 業務費23千元
　"
,,02,,"　　33031070900
　　戶政業務","3,936","3,896","3,910",40,
,,,01,"　　　33031070901
　　　戶政業務","3,936","3,896","3,910",40,"一、本科目包括戶政業務
　"
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費525千元
　　業務費3,411千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 40千元
　　增列 業務費40千元
　"
,,03,,"　　33031079000
　　一般建築及設備",600,100,98,500,
,,,01,"　　　33031079001
　　　一般建築及設
　　　備",600,100,98,500,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資600千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 500千元
　　增列 設備及投資500千元
　"
,009,,,"　00031080000
　臺中市西屯區戶政
　事務所","43,076","43,323","40,301",-247,
,,01,,"　　33031080100
　　一般行政","37,576","37,838","35,058",-262,
,,,01,"　　　33031080101
　　　行政管理","37,576","37,838","35,058",-262,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費34,356千元
　　業務費3,136千元
　　獎補助費84千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 262千元
　　減列 人事費284千元
　　增列 業務費22千元
　"
,,02,,"　　33031080900
　　戶政業務","5,400","5,385","5,143",15,
,,,01,"　　　33031080901
　　　戶政業務","5,400","5,385","5,143",15,"一、本科目包括戶政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費596千元
　　業務費4,804千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 15千元
　　增列 業務費15千元
　"
,,03,,"　　33031089000
　　一般建築及設備",100,100,100,-,
,,,01,"　　　33031089001
　　　一般建築及設
　　　備",100,100,100,-,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資100千元
　"
,010,,,"　00031090000
　臺中市南屯區戶政
　事務所","35,727","36,510","32,533",-783,
,,01,,"　　33031090100
　　一般行政","29,881","30,755","27,337",-874,
,,,01,"　　　33031090101
　　　行政管理","29,881","30,755","27,337",-874,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費27,545千元
　　業務費2,312千元
　　獎補助費24千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 874千元
　　減列 人事費897千元
　　增列 業務費23千元
　"
,,02,,"　　33031090900
　　戶政業務","5,746","5,655","5,096",91,
,,,01,"　　　33031090901
　　　戶政業務","5,746","5,655","5,096",91,"一、本科目包括戶政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,017千元
　　業務費4,729千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 91千元
　　增列 人事費57千元
　　增列 業務費34千元
　"
,,03,,"　　33031099000
　　一般建築及設備",100,100,100,-,
,,,01,"　　　33031099001
　　　一般建築及設
　　　備",100,100,100,-,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資100千元
　"
,011,,,"　00031100000
　臺中市北屯區戶政
　事務所","52,344","53,379","50,786","-1,035",
,,01,,"　　33031100100
　　一般行政","46,323","47,522","44,625","-1,199",
,,,01,"　　　33031100101
　　　行政管理","46,323","47,522","44,625","-1,199","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費44,116千元
　　業務費2,057千元
　　獎補助費150千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,199千元
　　減列 人事費1,222千元
　　增列 業務費23千元
　"
,,02,,"　　33031100900
　　戶政業務","5,807","5,757","6,063",50,
,,,01,"　　　33031100901
　　　戶政業務","5,807","5,757","6,063",50,"一、本科目包括戶政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費690千元
　　業務費5,117千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 50千元
　　增列 業務費50千元
　"
,,03,,"　　33031109000
　　一般建築及設備",214,100,98,114,
,,,01,"　　　33031109001
　　　一般建築及設
　　　備",214,100,98,114,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資214千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 114千元
　　增列 設備及投資114千元
　"
,012,,,"　00031110000
　臺中市豐原區戶政
　事務所","46,256","46,638","42,726",-382,
,,01,,"　　33031110100
　　一般行政","42,205","42,490","38,753",-285,
,,,01,"　　　33031110101
　　　行政管理","42,205","42,490","38,753",-285,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費41,602千元
　　業務費435千元
　　獎補助費168千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 285千元
　　減列 人事費312千元
　　增列 業務費27千元
　"
,,02,,"　　33031110900
　　戶政業務","3,951","3,968","3,875",-17,
,,,01,"　　　33031110901
　　　戶政業務","3,951","3,968","3,875",-17,"一、本科目包括戶政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費519千元
　　業務費3,432千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 17千元
　　減列 業務費17千元
　"
,,03,,"　　33031119000
　　一般建築及設備",100,180,98,-80,
,,,01,"　　　33031119001
　　　一般建築及設
　　　備",100,180,98,-80,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資100千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 80千元
　　減列 設備及投資80千元
　"
,013,,,"　00031120000
　臺中市后里區戶政
　事務所","13,464","13,104","12,773",360,
,,01,,"　　33031120100
　　一般行政","11,734","11,639","11,174",95,
,,,01,"　　　33031120101
　　　行政管理","11,734","11,639","11,174",95,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費11,156千元
　　業務費542千元
　　獎補助費36千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 95千元
　　增列 人事費107千元
　　減列 獎補助費12千元
　"
,,02,,"　　33031120900
　　戶政業務","1,380","1,365","1,419",15,
,,,01,"　　　33031120901
　　　戶政業務","1,380","1,365","1,419",15,"一、本科目包括戶政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費190千元
　　業務費1,190千元
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 15千元
　　增列 業務費15千元
　"
,,03,,"　　33031129000
　　一般建築及設備",350,100,180,250,
,,,01,"　　　33031129001
　　　一般建築及設
　　　備",350,100,180,250,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資350千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 250千元
　　增列 設備及投資250千元
　"
,014,,,"　00031130000
　臺中市神岡區戶政
　事務所","15,866","15,731","15,290",135,
,,01,,"　　33031130100
　　一般行政","14,343","14,225","13,691",118,
,,,01,"　　　33031130101
　　　行政管理","14,343","14,225","13,691",118,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費14,120千元
　　業務費187千元
　　獎補助費36千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 118千元
　　增列 人事費137千元
　　減列 業務費19千元
　"
,,02,,"　　33031130900
　　戶政業務","1,423","1,406","1,499",17,
,,,01,"　　　33031130901
　　　戶政業務","1,423","1,406","1,499",17,"一、本科目包括戶政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費150千元
　　業務費1,273千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 17千元
　　增列 業務費17千元
　"
,,03,,"　　33031139000
　　一般建築及設備",100,100,100,-,
,,,01,"　　　33031139001
　　　一般建築及設
　　　備",100,100,100,-,"一、本科目包括一般建築及設備
　"
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資100千元
　"
,015,,,"　00031140000
　臺中市大雅區戶政
　事務所","24,339","23,211","21,753","1,128",
,,01,,"　　33031140100
　　一般行政","20,634","20,621","19,284",13,
,,,01,"　　　33031140101
　　　行政管理","20,634","20,621","19,284",13,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費19,951千元
　　業務費653千元
　　獎補助費30千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 13千元
　　增列 業務費25千元
　　減列 獎補助費12千元
　"
,,02,,"　　33031140900
　　戶政業務","2,333","2,290","2,369",43,
,,,01,"　　　33031140901
　　　戶政業務","2,333","2,290","2,369",43,"一、本科目包括戶政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費275千元
　　業務費2,058千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 43千元
　　增列 業務費43千元
　"
,,03,,"　　33031149000
　　一般建築及設備","1,372",300,100,"1,072",
,,,01,"　　　33031149001
　　　一般建築及設
　　　備","1,372",300,100,"1,072","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資1,372千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,072千元
　　增列 設備及投資1,072千元
　"
,016,,,"　00031150000
　臺中市潭子區戶政
　事務所","28,541","28,514","27,084",27,
,,01,,"　　33031150100
　　一般行政","26,099","26,071","24,560",28,
,,,01,"　　　33031150101
　　　行政管理","26,099","26,071","24,560",28,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費25,767千元
　　業務費308千元
　　獎補助費24千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 28千元
　　增列 業務費22千元
　　增列 獎補助費6千元
　"
,,02,,"　　33031150900
　　戶政業務","2,342","2,343","2,424",-1,
,,,01,"　　　33031150901
　　　戶政業務","2,342","2,343","2,424",-1,"一、本科目包括戶政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費346千元
　　業務費1,996千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1千元
　　減列 業務費1千元
　"
,,03,,"　　33031159000
　　一般建築及設備",100,100,100,-,
,,,01,"　　　33031159001
　　　一般建築及設
　　　備",100,100,100,-,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資100千元
　"
,017,,,"　00031160000
　臺中市東勢區戶政
　事務所","15,557","15,436","15,176",121,
,,01,,"　　33031160100
　　一般行政","14,125","14,007","13,588",118,
,,,01,"　　　33031160101
　　　行政管理","14,125","14,007","13,588",118,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費13,917千元
　　業務費172千元
　　獎補助費36千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 118千元
　　增列 人事費121千元
　　減列 業務費3千元
　"
,,02,,"　　33031160900
　　戶政業務","1,332","1,329","1,408",3,
,,,01,"　　　33031160901
　　　戶政業務","1,332","1,329","1,408",3,"一、本科目包括戶政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費180千元
　　業務費1,152千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 3千元
　　增列 業務費3千元
　"
,,03,,"　　33031169000
　　一般建築及設備",100,100,180,-,
,,,01,"　　　33031169001
　　　一般建築及設
　　　備",100,100,180,-,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資100千元
　"
,018,,,"　00031170000
　臺中市石岡區戶政
　事務所","5,869","6,289","5,686",-420,
,,01,,"　　33031170100
　　一般行政","5,018","5,438","4,791",-420,
,,,01,"　　　33031170101
　　　行政管理","5,018","5,438","4,791",-420,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費4,920千元
　　業務費86千元
　　獎補助費12千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 420千元
　　減列 人事費420千元
　"
,,02,,"　　33031170900
　　戶政業務",751,751,795,-,
,,,01,"　　　33031170901
　　　戶政業務",751,751,795,-,"一、本科目包括戶政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費29千元
　　業務費722千元
　"
,,03,,"　　33031179000
　　一般建築及設備",100,100,100,-,
,,,01,"　　　33031179001
　　　一般建築及設
　　　備",100,100,100,-,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資100千元
　"
,019,,,"　00031180000
　臺中市新社區戶政
　事務所","8,485","8,495","8,349",-10,
,,01,,"　　33031180100
　　一般行政","7,503","7,515","7,326",-12,
,,,01,"　　　33031180101
　　　行政管理","7,503","7,515","7,326",-12,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費7,393千元
　　業務費104千元
　　獎補助費6千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 12千元
　　減列 人事費12千元
　"
,,02,,"　　33031180900
　　戶政業務",882,880,923,2,
,,,01,"　　　33031180901
　　　戶政業務",882,880,923,2,"一、本科目包括戶政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費19千元
　　業務費863千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2千元
　　增列 業務費2千元
　"
,,03,,"　　33031189000
　　一般建築及設備",100,100,100,-,
,,,01,"　　　33031189001
　　　一般建築及設
　　　備",100,100,100,-,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資100千元
　"
,020,,,"　00031190000
　臺中市大里區戶政
　事務所","50,939","50,053","46,836",886,
,,01,,"　　33031190100
　　一般行政","45,011","45,243","42,284",-232,
,,,01,"　　　33031190101
　　　行政管理","45,011","45,243","42,284",-232,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費44,453千元
　　業務費492千元
　　獎補助費66千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 232千元
　　減列 人事費257千元
　　增列 業務費25千元
　"
　,　,　,　,　,　,　,　,　,　
,,02,,"　　33031190900
　　戶政業務","4,340","4,350","4,452",-10,
,,,01,"　　　33031190901
　　　戶政業務","4,340","4,350","4,452",-10,"一、本科目包括戶政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費405千元
　　業務費3,935千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 10千元
　　減列 業務費10千元
　"
,,03,,"　　33031199000
　　一般建築及設備","1,588",460,100,"1,128",
,,,01,"　　　33031199001
　　　一般建築及設
　　　備","1,588",460,100,"1,128","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資1,588千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,128千元
　　增列 設備及投資1,128千元
　"
,021,,,"　00031200000
　臺中市霧峰區戶政
　事務所","17,226","16,596","16,217",630,
