,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資450千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 730千元
　　減列 設備及投資730千元
　"
,,06,,"　　66102100100
　　農民保險業務","117,180","117,180","105,902",-,
,,,01,"　　　66102100101
　　　農民保險","117,180","117,180","105,902",-,"一、本科目包括農民保險
　"
,,,,,,,,,"二、本年度預算數包括:
　　獎補助費117,180千元
　"
,,07,,"　　68102100500
　　農民福利業務","1,295,532","1,295,532","1,218,128",-,
,,,01,"　　　68102100501
　　　農民福利","1,295,532","1,295,532","1,218,128",-,"一、本科目包括農民福利
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　獎補助費1,295,532千元
　"
,002,,,"　00102110000
　臺中市動物保護防
　疫處","173,838","152,004","145,531","21,834",
,,01,,"　　58102110100
　　一般行政","67,134","67,784","61,249",-650,
,,,01,"　　　58102110101
　　　行政管理","67,134","67,784","61,249",-650,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費58,577千元
　　業務費8,401千元
　　獎補助費156千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 650千元
　　減列 人事費370千元
　　減列 業務費292千元
　　增列 獎補助費12千元
　"
,,02,,"　　58102110700
　　動物保護與管理","75,812","60,429","68,215","15,383",
,,,01,"　　　58102110701
　　　動物保護","28,130","19,470","30,738","8,660","一、本科目包括動物保護
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費5,870千元
　　獎補助費22,260千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 8,660千元
　　增列 業務費3,870千元
　　增列 獎補助費4,790千元
　"
,,,02,"　　　58102110702
　　　動物收容","20,190","13,420","13,088","6,770","一、本科目包括動物收容
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費18,300千元
　　獎補助費1,890千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 6,770千元
　　增列 業務費4,880千元
　　增列 獎補助費1,890千元
　"
,,,03,"　　　58102110703
　　　獸醫行政","26,982","26,839","24,389",143,"一、本科目包括獸醫行政
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費230千元
　　業務費26,752千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 143千元
　　減列 人事費29千元
　　增列 業務費172千元
　"
,,,04,"　　　58102110704
　　　動物生命禮儀",510,700,-,-190,"一、本科目包括動物生命禮儀
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費510千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 190千元
　　減列 業務費190千元
　"
,,03,,"　　58102110800
　　動物防疫與檢驗","6,526","6,606","14,847",-80,
,,,01,"　　　58102110801
　　　豬病防疫","2,921","2,921","6,244",-,"一、本科目包括豬病防疫
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費2,461千元
　　獎補助費460千元
　"
,,,02,"　　　58102110802
　　　病性鑑定及水
　　　產防疫",390,470,609,-80,"一、本科目包括病性鑑定及水產防疫
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費390千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 80千元
　　減列 業務費80千元
　"
,,,03,"　　　58102110803
　　　草食動物禽病
　　　防疫","2,795","2,795","7,035",-,"一、本科目包括草食動物禽病防疫
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費2,670千元
　　獎補助費125千元
　"
,,,04,"　　　58102110804
　　　動物藥品管理",420,420,959,-,"一、本科目包括動物藥品管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費420千元
　"
,,04,,"　　58102119000
　　一般建築及設備","24,366","17,185","1,220","7,181",
,,,01,"　　　58102119001
　　　一般建築及設
　　　備","24,366","17,185","1,220","7,181","一、本科目包括一般建築及設備
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資24,366千元
　　獎補助費0千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 7,181千元
　　增列 設備及投資9,771千元
　　減列 獎補助費2,590千元
　"
,003,,,"　00102120000
　臺中市海岸資源漁
　業發展所","106,944","71,814","42,852","35,130",
,,01,,"　　58102120100
　　一般行政","11,468","11,821","10,052",-353,
,,,01,"　　　58102120101
　　　行政管理","11,468","11,821","10,052",-353,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費10,862千元
　　業務費594千元
　　獎補助費12千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 353千元
　　減列 人事費380千元
　　增列 業務費27千元
　"
,,02,,"　　58102120900
　　漁業及海岸管理","18,556","16,843","15,324","1,713",
,,,01,"　　　58102120901
　　　漁業行政及漁
　　　港管理","18,556","16,843","15,324","1,713","一、本科目包括漁業行政及漁港管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,121千元
　　業務費8,565千元
　　獎補助費8,870千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,713千元
　　增列 人事費2千元
　　減列 業務費1,489千元
　　增列 獎補助費3,200千元
　"
,,03,,"　　58102129000
　　一般建築及設備","76,920","43,150","17,476","33,770",
,,,01,"　　　58102129001
　　　一般建築及設
　　　備","76,920","43,150","17,476","33,770","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資76,920千元
　　獎補助費0千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 33,770千元
　　增列 設備及投資59,270千元
　　減列 獎補助費25,500千元
　"
