,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
,,,01,"　　　58234309001
　　　一般建築及設
　　　備",450,450,"1,169",-,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資450千元
　"
,,05,,"　　73234300700
　　水利事務","1,586,624","1,407,538","571,308","179,086",
,,,01,"　　　73234300701
　　　污水工程業務","23,339",793,"18,775","22,546","一、本科目包括污水工程業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費200千元
　　業務費23,139千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 22,546千元
　　增列 業務費22,546千元
　"
,,,02,"　　　73234300702
　　　污水工程","1,239,453","1,230,000","403,843","9,453","一、本科目包括污水工程
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資1,239,453千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 9,453千元
　　增列 設備及投資9,453千元
　"
,,,03,"　　　73234300703
　　　污水營運業務","171,832","125,273","112,745","46,559","一、本科目包括污水營運業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費200千元
　　業務費171,632千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 46,559千元
　　增列 業務費46,559千元
　"
,,,04,"　　　73234300704
　　　污水營運工程","152,000","51,472","35,945","100,528","一、本科目包括污水營運工程
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資152,000千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 100,528千元
　　增列 設備及投資100,528千元
　"
