,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
,,,,,,,,,"二、本年度預算數包括:
　　預備金13,000千元
　"
,,10,,"　　75051600500
　　教育人員退休給
　　付",-,"6,817,411","6,267,400","-6,817,411",
,,,01,"　　　75051600501
　　　教育人員退休
　　　給付",-,"6,817,411","6,267,400","-6,817,411","一、本科目包括教育人員退休給付
　"
,,,,,,,,,"二、本年度預算數0千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 6,817,411千元
　　減列 獎補助費6,817,411千元
　"
,,11,,"　　75051600600
　　提撥勞工退休金
　　準備(教育)",-,"7,600","6,909","-7,600",
,,,01,"　　　75051600601
　　　提撥勞工退休
　　　金準備(教育
　　　)",-,"7,600","6,909","-7,600","一、本科目包括提撥勞工退休金準備(教育)
　"
,,,,,,,,,"二、本年度預算數0千元
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 7,600千元
　　減列 獎補助費7,600千元
　"
,,12,,"　　75051600700
　　教育人員撫卹給
　　付",-,"30,000","13,862","-30,000",
,,,01,"　　　75051600701
　　　教育人員撫卹
　　　給付",-,"30,000","13,862","-30,000","一、本科目包括教育人員撫卹給付
　"
,,,,,,,,,"二、本年度預算數0千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 30,000千元
　　減列 獎補助費30,000千元
　"
,,13,,"　　75051600800
　　教育人員因公致
　　殘死亡慰問金",-,"2,000",10,"-2,000",
,,,01,"　　　75051600801
　　　教育人員因公
　　　致殘死亡慰問
　　　金",-,"2,000",10,"-2,000","一、本科目包括教育人員因公致殘死亡慰問金
　"
,,,,,,,,,"二、本年度預算數0千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2,000千元
　　減列 獎補助費2,000千元
　"
,,14,,"　　89051600300
　　教育人員各項補
　　助",-,"410,000","389,563","-410,000",
,,,01,"　　　89051600301
　　　教育人員各項
　　　補助",-,"410,000","389,563","-410,000","一、本科目包括教育人員各項補助
　"
,,,,,,,,,"二、本年度預算數0千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 410,000千元
　　減列 獎補助費410,000千元
　"
,002,,,"　00051610000
　臺中市體育處","938,092","454,870","805,193","483,222",
,,01,,"　　53051610100
　　一般行政","27,127","26,629","20,070",498,
,,,01,"　　　53051610101
　　　行政管理","27,127","26,629","20,070",498,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費26,431千元
　　業務費696千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 498千元
　　增列 人事費165千元
　　增列 業務費333千元
　"
,,02,,"　　53051610200
　　體育業務","249,365","212,411","222,122","36,954",
,,,01,"　　　53051610201
　　　計畫業務","71,893","74,218","67,657","-2,325","一、本科目包括計畫業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費0千元
　　業務費71,893千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2,325千元
　　減列 人事費140千元
　　減列 業務費2,185千元
　"
,,,02,"　　　53051610202
　　　運動業務","177,472","138,193","154,465","39,279","一、本科目包括運動業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費2,751千元
　　業務費29,265千元
　　獎補助費145,456千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 39,279千元
　　減列 人事費21千元
　　增列 業務費15,350千元
　　增列 獎補助費23,950千元
　"
,,03,,"　　53051619000
　　一般建築及設備","661,600","215,830","563,001","445,770",
,,,01,"　　　53051619001
　　　一般建築及設
　　　備","661,600","215,830","563,001","445,770","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資661,600千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 445,770千元
　　增列 設備及投資445,770千元
　"
,003,,,"　00051620000
　臺中市家庭教育中
　心","21,927","12,272","16,015","9,655",
,,01,,"　　53051620100
　　一般行政","9,865","10,344","9,252",-479,
,,,01,"　　　53051620101
　　　行政管理","9,865","10,344","9,252",-479,"一、本科目包括行政管理
　"
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費8,284千元
　　業務費1,575千元
　　獎補助費6千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 479千元
　　減列 人事費583千元
　　增列 業務費104千元
　"
,,02,,"　　53051620300
　　推展家庭教育","11,962","1,828","6,663","10,134",
,,,01,"　　　53051620301
　　　推展家庭教育","11,962","1,828","6,663","10,134","一、本科目包括推展家庭教育
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費11,862千元
　　獎補助費100千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 10,134千元
　　增列 業務費10,034千元
　　增列 獎補助費100千元
　"
,,03,,"　　53051629000
　　一般建築及設備",100,100,100,-,
,,,01,"　　　53051629001
　　　一般建築及設
　　　備",100,100,100,-,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資100千元
　"
