,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
,,,,,,,,,"二、本年度預算數包括:
　　人事費312,699千元
　　業務費511,563千元
　　獎補助費0千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 169,560千元
　　增列 人事費71,440千元
　　增列 業務費116,414千元
　　減列 獎補助費18,294千元
　"
,,,02,"　　　73173500402
　　　清潔車輛管理","256,316","295,938","245,269","-39,622","一、本科目包括清潔車輛管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費256,316千元
　　獎補助費0千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 39,622千元
　　減列 業務費34,361千元
　　減列 獎補助費5,261千元
　"
　,　,　,　,　,　,　,　,　,　
,,,03,"　　　73173500403
　　　勞工安全衛生
　　　管理","25,368","23,011","18,870","2,357","一、本科目包括勞工安全衛生管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,116千元
　　業務費24,252千元
　　獎補助費0千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,357千元
　　增列 人事費149千元
　　增列 業務費2,314千元
　　減列 獎補助費106千元
　"
,,04,,"　　73173500500
　　環境工程及設施
　　業務","932,993","946,613","832,068","-13,620",
,,,01,"　　　73173500501
　　　廢棄物處理及
　　　再利用業務","27,017","26,339","22,350",678,"一、本科目包括廢棄物處理及再利用業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費80千元
　　業務費26,937千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 678千元
　　增列 業務費678千元
　"
,,,02,"　　　73173500502
　　　垃圾掩埋場業
　　　務","53,620","50,784","52,561","2,836","一、本科目包括垃圾掩埋場業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費270千元
　　業務費53,350千元
　　獎補助費0千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,836千元
　　增列 業務費3,436千元
　　減列 獎補助費600千元
　"
,,,03,"　　　73173500503
　　　垃圾焚化廠業
　　　務","843,222","860,290","756,660","-17,068","一、本科目包括垃圾焚化廠業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費293千元
　　業務費774,597千元
　　獎補助費68,332千元
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 17,068千元
　　減列 業務費17,068千元
　"
,,,04,"　　　73173500504
　　　環境工程業務",642,900,497,-258,"一、本科目包括環境工程業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費50千元
　　業務費592千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 258千元
　　減列 人事費50千元
　　減列 業務費208千元
　"
,,,05,"　　　73173500505
　　　回饋金及行政
　　　業務","8,492","8,300",-,192,"一、本科目包括回饋金及行政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費90千元
　　業務費6,102千元
　　獎補助費2,300千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 192千元
　　增列 業務費162千元
　　增列 獎補助費30千元
　"
,,05,,"　　73173507900
　　第一預備金","10,000","10,000",-,-,
,,,01,"　　　73173507901
　　　第一預備金","10,000","10,000",-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金10,000千元
　"
,,06,,"　　73173509000
　　一般建築及設備","414,740","330,343","434,261","84,397",
,,,01,"　　　73173509001
　　　一般建築及設
　　　備","414,740","330,343","434,261","84,397","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資411,240千元
　　獎補助費3,500千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 84,397千元
　　增列 設備及投資80,897千元
　　增列 獎補助費3,500千元
　"
,,,,,,,,,
,,,,,,,,,
