,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
,,03,,"　　53183607900
　　第一預備金","5,000","2,800",-,"2,200",
,,,01,"　　　53183607901
　　　第一預備金","5,000","2,800",-,"2,200","一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金5,000千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,200千元
　　增列 預備金2,200千元
　"
,,04,,"　　53183609000
　　一般建築及設備","257,095","144,996","298,102","112,099",
,,,01,"　　　53183609001
　　　一般建築及設
　　　備","257,095","144,996","298,102","112,099","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資257,095千元
　"
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 112,099千元
　　增列 設備及投資112,099千元
　"
,002,,,"　00183630000
　臺中市文化資產處","225,143","156,984","226,284","68,159",
,,01,,"　　53183630100
　　一般行政","40,889","38,077","30,139","2,812",
,,,01,"　　　53183630101
　　　行政管理","40,889","38,077","30,139","2,812","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費29,721千元
　　業務費11,168千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,812千元
　　增列 人事費4千元
　　增列 業務費2,808千元
　"
,,02,,"　　53183630600
　　文教活動","47,334","13,607","31,905","33,727",
,,,01,"　　　53183630608
　　　有形文化資產
　　　維護","38,904","9,627","25,513","29,277","一、本科目包括有形文化資產維護
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費38,324千元
　　獎補助費580千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 29,277千元
　　增列 業務費29,277千元
　"
,,,02,"　　　53183630609
　　　無形文化資產
　　　維護","8,430","3,980","6,392","4,450","一、本科目包括無形文化資產維護
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費8,430千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 4,450千元
　　增列 業務費4,450千元
　"
,,03,,"　　53183639000
　　一般建築及設備","136,920","105,300","164,240","31,620",
,,,01,"　　　53183639001
　　　一般建築及設
　　　備","136,920","105,300","164,240","31,620","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資136,920千元
　"
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 31,620千元
　　增列 設備及投資31,620千元
　"
