,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,459千元
　　減列 業務費1,459千元
　"
,,06,,"　　32020037900
　　第一預備金","3,000","3,000",-,-,
,,,01,"　　　32020037901
　　　第一預備金","3,000","3,000",-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金3,000千元
　"
,,07,,"　　32020039000
　　一般建築及設備","191,026","29,380","31,912","161,646",
,,,01,"　　　32020039001
　　　一般建築及設
　　　備","191,026","29,380","31,912","161,646","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資191,026千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 161,646千元
　　增列 設備及投資161,646千元
　"
,003,,,"　00020040000
　臺中市政府主計處","126,919","131,118","106,681","-4,199",
,,01,,"　　32020040100
　　一般行政","109,797","109,420","91,864",377,
,,,01,"　　　32020040101
　　　行政管理","109,797","109,420","91,864",377,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費99,532千元
　　業務費10,235千元
　　獎補助費30千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 377千元
　　增列 人事費510千元
　　減列 業務費133千元
　"
,,02,,"　　32020040700
　　歲計會計業務","9,243","10,539","7,701","-1,296",
,,,01,"　　　32020040701
　　　總預算編審與
　　　督導執行","3,379","3,379","2,144",-,"一、本科目包括總預算編審與督導執行
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費900千元
　　業務費2,479千元
　"
,,,02,"　　　32020040702
　　　特種基金預決
　　　算編審與督導
　　　執行","3,264","4,560","3,601","-1,296","一、本科目包括特種基金預決算編審與督導執行
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費2,151千元
　　業務費1,113千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,296千元
　　減列 人事費1,196千元
　　減列 業務費100千元
　"
,,,03,"　　　32020040703
　　　總會計事務處
　　　理與總決算核
　　　編","2,600","2,600","1,956",-,"一、本科目包括總會計事務處理與總決算核編
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費450千元
　　業務費2,150千元
　"
,,03,,"　　32020040800
　　統計業務","6,109","6,109","6,686",-,
,,,01,"　　　32020040801
　　　公務統計","1,279","1,279","2,122",-,"一、本科目包括公務統計
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費378千元
　　業務費901千元
　"
,,,02,"　　　32020040802
　　　經濟統計","4,830","4,830","4,564",-,"一、本科目包括經濟統計
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費400千元
　　業務費4,430千元
　"
,,04,,"　　32020047900
　　第一預備金",500,500,-,-,
,,,01,"　　　32020047901
　　　第一預備金",500,500,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金500千元
　"
,,05,,"　　32020049000
　　一般建築及設備","1,270","4,550",430,"-3,280",
,,,01,"　　　32020049001
　　　一般建築及設
　　　備","1,270","4,550",430,"-3,280","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資1,270千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 3,280千元
　　減列 設備及投資3,280千元
　"
,004,,,"　00020050000
　臺中市政府人事處","82,700","84,614","77,221","-1,914",
,,01,,"　　32020050100
　　一般行政","68,245","70,866","62,846","-2,621",
,,,01,"　　　32020050101
　　　行政管理","68,245","70,866","62,846","-2,621","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費65,131千元
　　業務費3,036千元
　　獎補助費78千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2,621千元
　　減列 人事費2,786千元
　　增列 業務費177千元
　　減列 獎補助費12千元
　"
,,02,,"　　32020050900
　　組織管理及人事
　　人員管理","1,555","1,579","1,459",-24,
,,,01,"　　　32020050901
　　　組織管理","1,026","1,025",926,1,"一、本科目包括組織管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費591千元
　　業務費435千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1千元
　　增列 人事費1千元
　"
,,,02,"　　　32020050902
　　　人事人員管理",529,554,533,-25,"一、本科目包括人事人員管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費529千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 25千元
　　減列 業務費25千元
　"
,,03,,"　　32020051000
　　任免考試","1,498","1,567","2,264",-69,
,,,01,"　　　32020051001
　　　任免遷調","1,461","1,530","2,229",-69,"一、本科目包括任免遷調
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費591千元
　　業務費870千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 69千元
　　增列 人事費1千元
　　減列 業務費70千元
　"
,,,02,"　　　32020051002
　　　考試分發",37,37,35,-,"一、本科目包括考試分發
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費37千元
　"
,,04,,"　　32020051100
　　考核訓練","2,754","3,954","2,568","-1,200",
,,,01,"　　　32020051101
　　　考核獎懲","1,951","2,151","1,949",-200,"一、本科目包括考核獎懲
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,104千元
　　業務費827千元
　　獎補助費20千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 200千元
　　減列 業務費200千元
　"
,,,02,"　　　32020051102
　　　災害防救業務",137,137,115,-,"一、本科目包括災害防救業務
　"
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費40千元
　　業務費97千元
　"
,,,03,"　　　32020051103
　　　訓練管理",666,"1,666",504,"-1,000","一、本科目包括訓練管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費666千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,000千元
　　減列 業務費1,000千元
　"
,,05,,"　　32020051200
　　待遇福利退休撫
　　卹業務","7,898","5,898","7,644","2,000",
,,,01,"　　　32020051201
　　　待遇福利",966,966,812,-,"一、本科目包括待遇福利
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費966千元
　"
,,,02,"　　　32020051202
　　　退休人員活動",856,856,820,-,"一、本科目包括退休人員活動
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費796千元
　　獎補助費60千元
　"
,,,03,"　　　32020051203
　　　員工五育及康
　　　樂","6,076","4,076","6,012","2,000","一、本科目包括員工五育及康樂
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費6,076千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,000千元
　　增列 業務費2,000千元
　"
,,06,,"　　32020057900
　　第一預備金",300,300,-,-,
,,,01,"　　　32020057901
　　　第一預備金",300,300,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金300千元
　"
,,07,,"　　32020059000
　　一般建築及設備",450,450,440,-,
,,,01,"　　　32020059001
　　　一般建築及設
　　　備",450,450,440,-,"一、本科目包括一般建築及設備
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資450千元
　"
,005,,,"　00020060000
　臺中市政府政風處","64,939","74,694","58,611","-9,755",
,,01,,"　　32020060100
　　一般行政","59,916","63,673","53,483","-3,757",
,,,01,"　　　32020060101
　　　行政管理","59,916","63,673","53,483","-3,757","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費54,781千元
　　業務費5,081千元
　　獎補助費54千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 3,757千元
　　減列 人事費4,100千元
　　增列 業務費343千元
　"
,,02,,"　　32020061300
　　政風業務","4,323","10,271","4,043","-5,948",
,,,01,"　　　32020061301
　　　政風行政","1,819","7,817","1,677","-5,998","一、本科目包括政風行政
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,264千元
　　業務費555千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 5,998千元
　　增列 人事費2千元
　　減列 業務費6,000千元
　"
,,,02,"　　　32020061302
　　　政風預防","1,844","1,794","1,726",50,"一、本科目包括政風預防
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費1,844千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 50千元
　　增列 業務費50千元
　"
,,,03,"　　　32020061303
　　　政風查處",20,20,20,-,"一、本科目包括政風查處
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費20千元
　"
,,,04,"　　　32020061304
　　　陽光法案",640,640,620,-,"一、本科目包括陽光法案
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費640千元
　"
,,03,,"　　32020067900
　　第一預備金",250,300,-,-50,
,,,01,"　　　32020067901
　　　第一預備金",250,300,-,-50,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金250千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 50千元
　　減列 預備金50千元
　"
,,04,,"　　32020069000
　　一般建築及設備",450,450,"1,085",-,
,,,01,"　　　32020069001
　　　一般建築及設
　　　備",450,450,"1,085",-,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資450千元
　"
,006,,,"　00020070000
　臺中市政府研究發
　展考核委員會","146,999","132,304","127,363","14,695",
,,01,,"　　32020070100
　　一般行政","63,953","63,670","55,066",283,
,,,01,"　　　32020070101
　　　行政管理","63,953","63,670","55,066",283,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費57,145千元
　　業務費6,724千元
　　獎補助費84千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 283千元
　　增列 人事費2千元
　　增列 業務費281千元
　"
,,02,,"　　32020071400
　　施政計畫綜合業
　　務","80,426","67,434","71,603","12,992",
,,,01,"　　　32020071401
　　　研究發展","7,513","6,414","4,245","1,099","一、本科目包括研究發展
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費84千元
　　業務費6,829千元
　　獎補助費600千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,099千元
　　增列 業務費1,099千元
　"
　,　,　,　,　,　,　,　,　,　
,,,02,"　　　32020071402
　　　綜合規劃","3,319","3,319","3,460",-,"一、本科目包括綜合規劃
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,577千元
　　業務費1,742千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增列 人事費1千元
　　減列 業務費1千元
　"
,,,03,"　　　32020071403
　　　管制考核","4,506","3,356","2,137","1,150","一、本科目包括管制考核
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費108千元
　　業務費4,398千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,150千元
　　增列 業務費1,150千元
　"
,,,04,"　　　32020071404
　　　為民服務","65,088","54,345","61,761","10,743","一、本科目包括為民服務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費35,027千元
　　業務費27,101千元
　　獎補助費2,960千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 10,743千元
　　增列 人事費33,222千元
　　減列 業務費25,439千元
　　增列 獎補助費2,960千元
　"
,,03,,"　　32020077900
　　第一預備金",500,500,-,-,
,,,01,"　　　32020077901
　　　第一預備金",500,500,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金500千元
　"
,,04,,"　　32020079000
　　一般建築及設備","2,120",700,694,"1,420",
,,,01,"　　　32020079001
　　　一般建築及設
　　　備","2,120",700,694,"1,420","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資2,120千元
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,420千元
　　增列 設備及投資1,420千元
　"
,007,,,"　00020080000
　臺中市政府原住民
　族事務委員會","446,367","321,502","173,252","124,865",
,,01,,"　　33020080100
　　一般行政","36,300","36,317","30,141",-17,
,,,01,"　　　33020080101
　　　行政管理","36,300","36,317","30,141",-17,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費32,005千元
　　業務費4,277千元
　　獎補助費18千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 17千元
　　減列 業務費17千元
　"
,,02,,"　　33020080200
　　原住民文教福利
　　業務","361,686","219,778","82,828","141,908",
,,,01,"　　　33020080201
　　　綜合企劃","2,108","1,768","1,496",340,"一、本科目包括綜合企劃
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費2,108千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 340千元
　　增列 業務費340千元
　"
,,,02,"　　　33020080202
　　　教育文化","67,237","47,750","65,212","19,487","一、本科目包括教育文化
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費11,780千元
　　獎補助費55,457千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 19,487千元
　　增列 業務費6,980千元
　　增列 獎補助費12,507千元
　"
,,,03,"　　　33020080203
　　　社會福利","288,794","166,713","13,038","122,081","一、本科目包括社會福利
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,100千元
　　業務費6,523千元
　　獎補助費281,171千元
　"
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 122,081千元
　　增列 人事費1,100千元
　　增列 業務費2,207千元
　　增列 獎補助費118,774千元
　"
,,,04,"　　　33020080204
　　　原住民綜合服
　　　務中心","3,547","3,547","3,082",-,"一、本科目包括原住民綜合服務中心
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費3,547千元
　"
,,03,,"　　33020080300
　　原住民土地管理
　　業務","3,153","5,380","3,842","-2,227",
,,,01,"　　　33020080301
　　　原住民土地管
　　　理業務","3,153","5,380","3,842","-2,227","一、本科目包括原住民土地管理業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費30千元
　　業務費1,519千元
　　獎補助費1,604千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2,227千元
　　減列 業務費3,731千元
　　增列 獎補助費1,504千元
　"
,,04,,"　　33020080400
　　原住民經濟建設
　　業務","5,347","7,977","25,239","-2,630",
,,,01,"　　　33020080401
　　　產業經濟輔導","4,966","7,796","18,076","-2,830","一、本科目包括產業經濟輔導
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費40千元
　　業務費4,126千元
　　獎補助費800千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2,830千元
　　增列 業務費275千元
　　減列 獎補助費3,105千元
　"
,,,02,"　　　33020080402
　　　住宅業務",381,181,"7,163",200,"一、本科目包括住宅業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費381千元
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 200千元
　　增列 業務費200千元
　"
,,05,,"　　33020087900
　　第一預備金",300,300,-,-,
,,,01,"　　　33020087901
　　　第一預備金",300,300,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金300千元
　"
,,06,,"　　33020089000
　　一般建築及設備","39,581","51,750","31,202","-12,169",
,,,01,"　　　33020089001
　　　一般建築及設
　　　備","39,581","51,750","31,202","-12,169","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資10,450千元
　　獎補助費29,131千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 12,169千元
　　減列 設備及投資41,100千元
　　增列 獎補助費28,931千元
　"
,008,,,"　00020090000
　臺中市政府客家事
　務委員會","100,485","81,802","60,954","18,683",
,,01,,"　　32020090100
　　一般行政","36,386","37,384","31,941",-998,
,,,01,"　　　32020090101
　　　行政管理","36,386","37,384","31,941",-998,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費32,874千元
　　業務費3,494千元
　　獎補助費18千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 998千元
　　減列 人事費113千元
　　減列 業務費891千元
　　增列 獎補助費6千元
　"
,,02,,"　　32020091500
　　客家政策研究發
　　展","21,895","12,623","13,276","9,272",
,,,01,"　　　32020091501
　　　研究發展業務","21,895","12,623","13,276","9,272","一、本科目包括研究發展業務
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費49千元
　　業務費20,862千元
　　獎補助費984千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 9,272千元
　　增列 業務費9,227千元
　　增列 獎補助費45千元
　"
,,03,,"　　32020091600
　　客家語言文化推
　　廣","21,354","9,975","13,681","11,379",
,,,01,"　　　32020091601
　　　文教推廣業務","21,354","9,975","13,681","11,379","一、本科目包括文教推廣業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費594千元
　　業務費16,340千元
　　獎補助費4,420千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 11,379千元
　　增列 人事費1千元
　　增列 業務費9,765千元
　　增列 獎補助費1,613千元
　"
,,04,,"　　32020097900
　　第一預備金",300,300,-,-,
,,,01,"　　　32020097901
　　　第一預備金",300,300,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金300千元
　"
,,05,,"　　32020099000
　　一般建築及設備","20,550","21,520","2,056",-970,
,,,01,"　　　32020099001
　　　一般建築及設
　　　備","20,550","21,520","2,056",-970,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資20,550千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 970千元
　　減列 設備及投資970千元
　"
,009,,,"　00020100000
　臺中市政府公務人
　力訓練中心","17,424","15,414","11,743","2,010",
,,01,,"　　51020100100
　　一般行政","12,930","11,200","8,639","1,730",
　,　,　,　,　,　,　,　,　,　
,,,01,"　　　51020100101
　　　行政管理","12,930","11,200","8,639","1,730","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費11,482千元
　　業務費1,436千元
　　獎補助費12千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,730千元
　　增列 人事費1,730千元
　"
,,02,,"　　51020100200
　　教育訓練研習","4,394","3,394","2,848","1,000",
,,,01,"　　　51020100201
　　　綜合業務","1,307","1,307",813,-,"一、本科目包括綜合業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費28千元
　　業務費1,279千元
　"
,,,02,"　　　51020100202
　　　教務業務","3,087","2,087","2,035","1,000","一、本科目包括教務業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費40千元
　　業務費3,047千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,000千元
　　增列 業務費1,000千元
　"
,,03,,"　　51020109000
　　一般建築及設備",100,820,256,-720,
,,,01,"　　　51020109001
　　　一般建築及設
　　　備",100,820,256,-720,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資100千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 720千元
　　減列 設備及投資720千元
　"
,010,,,"　00020110000
　臺中市政府資訊中
　心","235,285","235,753","161,811",-468,
,,01,,"　　32020110100
　　一般行政","47,798","47,708","42,092",90,
,,,01,"　　　32020110101
　　　行政管理","47,798","47,708","42,092",90,"一、本科目包括行政管理
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費45,036千元
　　業務費2,762千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 90千元
　　增列 人事費315千元
　　減列 業務費225千元
　"
,,02,,"　　32020111700
　　資訊業務","187,487","188,045","119,719",-558,
,,,01,"　　　32020111701
　　　規劃發展","21,563","16,665","6,125","4,898","一、本科目包括規劃發展
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費21,563千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 4,898千元
　　增列 業務費4,898千元
　"
,,,02,"　　　32020111702
　　　應用服務","18,418","15,974","13,915","2,444","一、本科目包括應用服務
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費18,418千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,444千元
　　增列 業務費2,444千元
　"
,,,03,"　　　32020111703
　　　設備網路","50,856","45,956","29,283","4,900","一、本科目包括設備網路
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費50,856千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 4,900千元
　　增列 業務費4,900千元
　"
,,,04,"　　　32020111704
　　　一般建築及設
　　　備","96,650","109,450","70,396","-12,800","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資96,650千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 12,800千元
　　減列 設備及投資12,800千元
　"
,011,,,"　00020510000
　臺中市中區區公所","65,658","68,373","62,728","-2,715",
　,　,　,　,　,　,　,　,　,　
,,01,,"　　33020510100
　　一般行政","34,000","35,346","32,014","-1,346",
,,,01,"　　　33020510101
　　　行政管理","34,000","35,346","32,014","-1,346","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費30,603千元
　　業務費3,217千元
　　獎補助費180千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,346千元
　　減列 人事費1,334千元
　　減列 業務費12千元
　"
,,02,,"　　33020510500
　　區公所業務","23,120","22,562","19,540",558,
,,,01,"　　　33020510501
　　　民政業務","22,354","21,770","18,800",584,"一、本科目包括民政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費57千元
　　業務費16,633千元
　　獎補助費5,664千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 584千元
　　增列 業務費584千元
　"
,,,02,"　　　33020510502
　　　經建業務",497,497,491,-,"一、本科目包括經建業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費16千元
　　業務費481千元
　"
,,,03,"　　　33020510503
　　　人文業務",269,295,249,-26,"一、本科目包括人文業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費5千元
　　業務費184千元
　　獎補助費80千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 26千元
　　減列 業務費26千元
　"
,,03,,"　　33020517900
　　第一預備金",200,200,-,-,
,,,01,"　　　33020517901
　　　第一預備金",200,200,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金200千元
　"
,,04,,"　　33020519000
　　一般建築及設備","1,320","4,320","5,085","-3,000",
,,,01,"　　　33020519001
　　　一般建築及設
　　　備","1,320","4,320","5,085","-3,000","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資1,320千元
　"
