,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
,003,,,"　00122320000
　臺中市家庭暴力及
　性侵害防治中心","382,713","338,067","289,641","44,646",
,,01,,"　　68122320100
　　一般行政","103,037","80,567","51,692","22,470",
,,,01,"　　　68122320101
　　　行政管理","103,037","80,567","51,692","22,470","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費85,976千元
　　業務費17,061千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 22,470千元
　　增列 人事費15,008千元
　　增列 業務費7,462千元
　"
,,02,,"　　68122320700
　　家庭暴力及性侵
　　害防治業務","82,035","71,667","66,331","10,368",
,,,01,"　　　68122320701
　　　家庭暴力及性
　　　侵害防治工作","82,035","71,667","66,331","10,368","一、本科目包括家庭暴力及性侵害防治工作
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費9,183千元
　　業務費36,667千元
　　獎補助費36,185千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 10,368千元
　　增列 人事費3,563千元
　　增列 業務費469千元
　　增列 獎補助費6,336千元
　"
,,03,,"　　68122320800
　　兒童及少年保護
　　服務業務","195,049","176,114","171,172","18,935",
,,,01,"　　　68122320801
　　　兒童及少年保
　　　護服務","195,049","176,114","171,172","18,935","一、本科目包括兒童及少年保護服務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費49,375千元
　　業務費28,519千元
　　獎補助費117,155千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 18,935千元
　　增列 人事費19,297千元
　　增列 業務費6,704千元
　　減列 獎補助費7,066千元
　"
,,04,,"　　68122329000
　　一般建築及設備","2,592","9,719",446,"-7,127",
,,,01,"　　　68122329001
　　　一般建築及設
　　　備","2,592","9,719",446,"-7,127","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資2,592千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 7,127千元
　　減列 設備及投資7,127千元
　"
